Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
46.0,06/02/2024 17:59,0.0,0.0,0.8398,50388000,P24_05,150911848.0,201912155.0,play,pause,01:02:30.911848,01:03:21.912155
47.0,06/02/2024 18:05,50.452083,50452083.0,0.6565,39390000,P24_05,210007655.0,250207627.0,play,pause,01:03:30.007655,01:04:10.207627
48.0,06/02/2024 18:06,89.83977,89839770.0,0.1646,9876000,P24_05,268696489.0,279119129.0,play,pause,01:04:28.696489,01:04:39.119129
49.0,06/02/2024 18:07,99.257937,99257937.0,1.0415,62490000,P24_05,300263159.0,363423192.0,play,pause,01:05:00.263159,01:06:03.423192
50.0,06/02/2024 18:08,161.798249,161798249.0,0.4717,28302000,P24_05,386111329.0,415471332.0,play,pause,01:06:26.111329,01:06:55.471332
51.0,06/02/2024 18:09,190.115228,190115228.0,0.8473,50838000,P24_05,435367055.0,487022994.0,play,fb,01:07:15.367055,01:08:07.022994
52.0,06/02/2024 18:10,236.484632,236484632.0,0.0273,1638000,P24_05,487022994.0,488815479.0,fb,pause,01:08:07.022994,01:08:08.815479
53.0,06/02/2024 18:10,238.151632,238151632.0,0.8915,53490000,P24_05,489622939.0,491255212.0,play,pause,01:08:09.622939,01:08:11.255212
54.0,06/02/2024 18:11,291.674257,291674257.0,0.4773,28638000,P24_05,519463147.0,573751185.0,play,pause,01:08:39.463147,01:09:33.751185
55.0,06/02/2024 18:12,320.361402,320361402.0,0.1607,9642000,P24_05,584526747.0,613686819.0,play,pause,01:09:44.526747,01:10:13.686819
56.0,06/02/2024 18:13,325.504593,325504593.0,0.0267,1602000,P24_05,636166659.0,646294640.0,play,pause,01:10:36.166659,01:10:46.294640
57.0,06/02/2024 18:13,321.133448,321133448.0,0.7831,46986000,P24_05,666006774.0,713702462.0,play,pause,01:11:06.006774,01:11:53.702462
58.0,06/02/2024 18:14,356.1026075,356102607.5,0.106,6360000,P24_05,722854339.0,729550493.0,play,pause,01:12:02.854339,01:12:09.550493
59.0,06/02/2024 18:14,362.561462,362561462.0,1.0685,64110000,P24_05,758246527.0,823366377.0,play,pause,01:12:38.246527,01:13:43.366377
60.0,06/02/2024 18:16,420.504143,420504143.0,0.0418,2508000,P24_05,842054423.0,845222185.0,play,pause,01:14:02.054423,01:14:05.222185
61.0,06/02/2024 18:16,423.10583,423105830.0,0.2894,17364000,P24_05,858478252.0,877000000.0,play,,01:14:18.478252,01:14:37
