Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
223.0,14/02/2024 16:04,0.0,0.0,0.4992,29952000,P24_24,165004876.0,195101056.0,play,pause,01:02:45.004876,01:03:15.101056
224.0,14/02/2024 16:05,29.632422,29632422.0,0.2642,15852000,P24_24,253852988.0,270284914.0,play,pause,01:04:13.852988,01:04:30.284914
225.0,14/02/2024 16:06,35.509576,35509576.0,0.663,39780000,P24_24,301508903.0,341437077.0,play,pause,01:05:01.508903,01:05:41.437077
226.0,14/02/2024 16:07,65.384367,65384367.0,0.3094,18564000,P24_24,366588891.0,385284952.0,play,pause,01:06:06.588891,01:06:25.284952
227.0,14/02/2024 16:09,83.761236,83761236.0,0.2886,17316000,P24_24,453037070.0,470956900.0,play,pause,01:07:33.037070,01:07:50.956900
228.0,14/02/2024 16:09,91.183259,91183259.0,0.5807,34842000,P24_24,472156885.0,507076895.0,play,pause,01:07:52.156885,01:08:27.076895
229.0,14/02/2024 16:10,106.060119,106060119.0,0.1326,7956000,P24_24,532932963.0,541005091.0,play,pause,01:08:52.932963,01:09:01.005091
230.0,14/02/2024 16:10,114.066055,114066055.0,0.2341,14046000,P24_24,555532902.0,569628833.0,play,pause,01:09:15.532902,01:09:29.628833
231.0,14/02/2024 16:12,128.200189,128200189.0,0.1723,10338000,P24_24,622821002.0,633716935.0,play,pause,01:10:22.821002,01:10:33.716935
232.0,14/02/2024 16:12,128.611725,128611725.0,0.302,18120000,P24_24,668364998.0,686596929.0,play,pause,01:11:08.364998,01:11:26.596929
233.0,14/02/2024 16:13,146.787046,146787046.0,0.1853,11118000,P24_24,710660907.0,722205146.0,play,pause,01:11:50.660907,01:12:02.205146
234.0,14/02/2024 16:14,147.966391,147966391.0,0.1777,10662000,P24_24,748956944.0,759756849.0,play,pause,01:12:28.956944,01:12:39.756849
235.0,14/02/2024 16:15,158.714178,158714178.0,0.3903,23418000,P24_24,805173019.0,829148878.0,play,pause,01:13:25.173019,01:13:49.148878
236.0,14/02/2024 16:16,182.233635,182233635.0,0.0358,2148000,P24_24,867508859.0,870093124.0,play,fb,01:14:27.508859,01:14:30.093124
237.0,14/02/2024 16:16,174.408813,174408813.0,0.1925,11550000,P24_24,870093124.0,881772999.0,fb,pause,01:14:30.093124,01:14:41.772999
238.0,14/02/2024 16:16,178.0513038,178051303.8,0.1046,6276000,P24_24,896445348.0,902764953.0,play,pause,01:14:56.445348,01:15:02.764953
239.0,14/02/2024 16:17,184.33711,184337110.0,0.0361,2166000,P24_24,922255623.0,924596910.0,play,fb,01:15:22.255623,01:15:24.596910
240.0,14/02/2024 16:17,176.529952,176529952.0,0.1473,8838000,P24_24,924596910.0,933741310.0,fb,pause,01:15:24.596910,01:15:33.741310
241.0,14/02/2024 16:17,185.452159,185452159.0,0.5259,31554000,P24_24,963636988.0,995636871.0,play,fb,01:16:03.636988,01:16:35.636871
242.0,14/02/2024 16:18,197.932639,197932639.0,0.1728,10368000,P24_24,995636871.0,1007237196.0,fb,pause,01:16:35.636871,01:16:47.237196
243.0,14/02/2024 16:19,208.368216,208368216.0,0.2222,13332000,P24_24,1044758380.0,1058533064.0,play,pause,01:17:24.758380,01:17:38.533064
244.0,14/02/2024 16:19,221.781306,221781306.0,0.1307,7842000,P24_24,1087116896.0,1095405277.0,play,pause,01:18:07.116896,01:18:15.405277
245.0,14/02/2024 16:20,229.678121,229678121.0,0.2297,13782000,P24_24,1110204908.0,1123973018.0,play,pause,01:18:30.204908,01:18:43.973018
246.0,14/02/2024 16:20,243.479378,243479378.0,0.1191,7146000,P24_24,1159420909.0,1167045033.0,play,pause,01:19:19.420909,01:19:27.045033
247.0,14/02/2024 16:21,250.71124,250711240.0,0.0215,1290000,P24_24,1198133076.0,1199965015.0,play,fb,01:19:58.133076,01:19:59.965015
248.0,14/02/2024 16:21,242.112131,242112131.0,0.3238,19428000,P24_24,1199965015.0,1219573171.0,fb,pause,01:19:59.965015,01:20:19.573171
249.0,14/02/2024 16:22,251.545963,251545963.0,0.1135,6810000,P24_24,1232525087.0,1239428855.0,play,pause,01:20:32.525087,01:20:39.428855
250.0,14/02/2024 16:23,258.418156,258418156.0,0.338,20280000,P24_24,1285876923.0,1306701031.0,play,pause,01:21:25.876923,01:21:46.701031
251.0,14/02/2024 16:23,278.732728,278732728.0,0.3215,19290000,P24_24,1334365080.0,1353837175.0,play,pause,01:22:14.365080,01:22:33.837175
252.0,14/02/2024 16:24,297.880564,297880564.0,0.0559,3354000,P24_24,1385901001.0,1389757018.0,play,pause,01:23:05.901001,01:23:09.757018
253.0,14/02/2024 16:25,301.328926,301328926.0,0.4032,24192000,P24_24,1414220885.0,1438804974.0,play,pause,01:23:34.220885,01:23:58.804974
254.0,14/02/2024 16:26,325.563333,325563333.0,1.4387,86322000,P24_24,1494748997.0,1581653049.0,play,pause,01:24:54.748997,01:26:21.653049
255.0,14/02/2024 16:28,411.986344,411986344.0,0.1798,10788000,P24_24,1599037023.0,1610276965.0,play,pause,01:26:39.037023,01:26:50.276965
256.0,14/02/2024 16:28,412.786766,412786766.0,0.2857,17142000,P24_24,1633461034.0,1650677095.0,play,pause,01:27:13.461034,01:27:30.677095
257.0,14/02/2024 16:29,419.94771,419947710.0,0.2411,14466000,P24_24,1676221092.0,1690780989.0,play,pause,01:27:56.221092,01:28:10.780989
258.0,14/02/2024 16:30,424.442793,424442793.0,0.2645,15870000,P24_24,1718133052.0,1734000000.0,play,,01:28:38.133052,01:28:54
