Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
172.0,09/02/2024 16:59,0.0,0.0,0.8515,51090000,P24_23,156768962.0,208008879.0,play,pause,01:02:36.768962,01:03:28.008879
173.0,09/02/2024 17:00,50.793764,50793764.0,0.0879,5274000,P24_23,212512914.0,217881341.0,play,pause,01:03:32.512914,01:03:37.881341
174.0,09/02/2024 17:00,56.175622,56175622.0,0.0592,3552000,P24_23,225920870.0,229496701.0,play,pause,01:03:45.920870,01:03:49.496701
175.0,09/02/2024 17:00,59.749244,59749244.0,0.5946,35676000,P24_23,233496729.0,269281141.0,play,pause,01:03:53.496729,01:04:29.281141
176.0,09/02/2024 17:01,95.554192,95554192.0,1.0527,63162000,P24_23,279840580.0,343008867.0,play,pause,01:04:39.840580,01:05:43.008867
177.0,09/02/2024 17:02,158.777497,158777497.0,0.6759,40554000,P24_23,371688268.0,412624383.0,play,pause,01:06:11.688268,01:06:52.624383
178.0,09/02/2024 17:03,199.384176,199384176.0,0.0266,1596000,P24_23,428666175.0,430752270.0,play,pause,01:07:08.666175,01:07:10.752270
179.0,09/02/2024 17:03,201.048262,201048262.0,0.4895,29370000,P24_23,444544286.0,473952255.0,play,pause,01:07:24.544286,01:07:53.952255
180.0,09/02/2024 17:04,230.500582,230500582.0,0.5455,32730000,P24_23,496575896.0,529767870.0,play,pause,01:08:16.575896,01:08:49.767870
181.0,09/02/2024 17:05,263.336748,263336748.0,0.2478,14868000,P24_23,559543708.0,574888081.0,play,pause,01:09:19.543708,01:09:34.888081
182.0,09/02/2024 17:06,278.34069,278340690.0,0.0691,4146000,P24_23,576143853.0,580328421.0,play,pause,01:09:36.143853,01:09:40.328421
183.0,09/02/2024 17:06,282.527573,282527573.0,0.4194,25164000,P24_23,592047598.0,617215599.0,play,pause,01:09:52.047598,01:10:17.215599
184.0,09/02/2024 17:06,307.747261,307747261.0,0.4514,27084000,P24_23,621103558.0,648231647.0,play,pause,01:10:21.103558,01:10:48.231647
185.0,09/02/2024 17:07,334.900973,334900973.0,0.4996,29976000,P24_23,655703576.0,685711581.0,play,pause,01:10:55.703576,01:11:25.711581
186.0,09/02/2024 17:08,364.923192,364923192.0,1.0334,62004000,P24_23,692375427.0,754447794.0,play,pause,01:11:32.375427,01:12:34.447794
187.0,09/02/2024 17:09,427.019497,427019497.0,0.2202,13212000,P24_23,802543256.0,815000000.0,play,,01:13:22.543256,01:13:35
