Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
62.0,07/02/2024 12:58,0.0,0.0,2.525,151500000,P24_06,148292904.0,300332818.0,play,pause,01:02:28.292904,01:05:00.332818
63.0,07/02/2024 13:05,151.536951,151536951.0,0.0822,4932000,P24_06,318508815.0,323900931.0,play,pause,01:05:18.508815,01:05:23.900931
64.0,07/02/2024 13:05,156.564142,156564142.0,0.5541,33246000,P24_06,331556996.0,364861071.0,play,pause,01:05:31.556996,01:06:04.861071
65.0,07/02/2024 13:06,189.893535,189893535.0,0.9467,56802000,P24_06,403700786.0,460637021.0,play,pause,01:06:43.700786,01:07:40.637021
66.0,07/02/2024 13:07,236.512663,236512663.0,0.1007,6042000,P24_06,463021542.0,469140964.0,play,pause,01:07:43.021542,01:07:49.140964
67.0,07/02/2024 13:08,242.576547,242576547.0,0.3645,21870000,P24_06,485260731.0,507548828.0,play,pause,01:08:05.260731,01:08:27.548828
68.0,07/02/2024 13:08,264.496538,264496538.0,0.2886,17316000,P24_06,520812835.0,538180673.0,play,pause,01:08:40.812835,01:08:58.180673
69.0,07/02/2024 13:09,281.898132,281898132.0,0.1993,11958000,P24_06,556372804.0,568748747.0,play,pause,01:09:16.372804,01:09:28.748747
70.0,07/02/2024 13:09,293.9024,293902400.0,0.1344,8064000,P24_06,571148800.0,579284970.0,play,pause,01:09:31.148800,01:09:39.284970
71.0,07/02/2024 13:09,292.031525,292031525.0,0.1271,7626000,P24_06,582132809.0,589900729.0,play,pause,01:09:42.132809,01:09:49.900729
72.0,07/02/2024 13:10,299.740054,299740054.0,0.4202,25212000,P24_06,603349033.0,628532894.0,play,pause,01:10:03.349033,01:10:28.532894
73.0,07/02/2024 13:10,324.970893,324970893.0,0.5915,35490000,P24_06,640540727.0,676020682.0,play,pause,01:10:40.540727,01:11:16.020682
74.0,07/02/2024 13:11,360.495023,360495023.0,0.1948,11688000,P24_06,684004730.0,695724721.0,play,pause,01:11:24.004730,01:11:35.724721
75.0,07/02/2024 13:11,372.215772,372215772.0,0.5585,33510000,P24_06,707724755.0,741276906.0,play,fb,01:11:47.724755,01:12:21.276906
76.0,07/02/2024 13:12,395.807247,395807247.0,0.1745,10470000,P24_06,741276906.0,752028645.0,fb,pause,01:12:21.276906,01:12:32.028645
77.0,07/02/2024 13:12,406.311705,406311705.0,0.2545,15270000,P24_06,762764699.0,778052744.0,play,pause,01:12:42.764699,01:12:58.052744
78.0,07/02/2024 13:13,421.629777,421629777.0,0.2335,14010000,P24_06,792324816.0,806356748.0,play,pause,01:13:12.324816,01:13:26.356748
79.0,07/02/2024 13:13,435.6946,435694600.0,0.0758,4548000,P24_06,831828745.0,835000000.0,play,,01:13:51.828745,01:13:55
