Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
188.0,09/02/2024 18:02,0.0,0.0,1.2893,77358000,P24_18,150648462.0,228191711.0,play,fb,01:02:30.648462,01:03:48.191711
189.0,09/02/2024 18:04,57.118272,57118272.0,0.0215,1290000,P24_18,228191711.0,229847778.0,fb,ff,01:03:48.191711,01:03:49.847778
190.0,09/02/2024 18:04,68.490138,68490138.0,0.0463,2778000,P24_18,229847778.0,232863741.0,ff,pause,01:03:49.847778,01:03:52.863741
191.0,09/02/2024 18:04,61.283743,61283743.0,0.2061,12366000,P24_18,242135694.0,254639665.0,play,pause,01:04:02.135694,01:04:14.639665
192.0,09/02/2024 18:04,73.727773,73727773.0,0.1371,8226000,P24_18,261911737.0,270151655.0,play,pause,01:04:21.911737,01:04:30.151655
193.0,09/02/2024 18:05,81.959298,81959298.0,0.0776,4656000,P24_18,282519618.0,287223712.0,play,pause,01:04:42.519618,01:04:47.223712
194.0,09/02/2024 18:05,86.695499,86695499.0,0.0511,3066000,P24_18,303119690.0,306599626.0,play,pause,01:05:03.119690,01:05:06.599626
195.0,09/02/2024 18:05,89.81271,89812710.0,0.1481,8886000,P24_18,320903670.0,329807465.0,play,pause,01:05:20.903670,01:05:29.807465
196.0,09/02/2024 18:06,98.746266,98746266.0,0.2651,15906000,P24_18,339983498.0,355863682.0,play,pause,01:05:39.983498,01:05:55.863682
197.0,09/02/2024 18:06,114.658024,114658024.0,0.023,1380000,P24_18,364951449.0,366359332.0,play,pause,01:06:04.951449,01:06:06.359332
198.0,09/02/2024 18:06,116.051082,116051082.0,0.7382,44292000,P24_18,380383405.0,424727205.0,play,pause,01:06:20.383405,01:07:04.727205
199.0,09/02/2024 18:07,160.428263,160428263.0,0.3016,18096000,P24_18,444399450.0,462711172.0,play,pause,01:07:24.399450,01:07:42.711172
200.0,09/02/2024 18:08,178.591056,178591056.0,0.0918,5508000,P24_18,487959092.0,493895414.0,play,pause,01:08:07.959092,01:08:13.895414
201.0,09/02/2024 18:08,184.147172,184147172.0,0.2625,15750000,P24_18,502710961.0,518518970.0,play,pause,01:08:22.710961,01:08:38.518970
202.0,09/02/2024 18:09,199.952735,199952735.0,0.699,41940000,P24_18,529639089.0,571574979.0,play,pause,01:08:49.639089,01:09:31.574979
203.0,09/02/2024 18:10,241.91529,241915290.0,0.3968,23808000,P24_18,599358730.0,623663076.0,play,pause,01:09:59.358730,01:10:23.663076
204.0,09/02/2024 18:11,265.842027,265842027.0,0.18,10800000,P24_18,638766653.0,650006541.0,play,pause,01:10:38.766653,01:10:50.006541
205.0,09/02/2024 18:11,276.689369,276689369.0,0.0714,4284000,P24_18,661590730.0,665942857.0,play,pause,01:11:01.590730,01:11:05.942857
206.0,09/02/2024 18:11,281.057951,281057951.0,0.7319,43914000,P24_18,682038569.0,726438364.0,play,pause,01:11:22.038569,01:12:06.438364
207.0,09/02/2024 18:12,325.057191,325057191.0,0.1786,10716000,P24_18,739366282.0,750142754.0,play,pause,01:12:19.366282,01:12:30.142754
208.0,09/02/2024 18:13,325.874465,325874465.0,0.018,1080000,P24_18,759414341.0,760630380.0,play,fb,01:12:39.414341,01:12:40.630380
209.0,09/02/2024 18:13,317.024912,317024912.0,0.2011,12066000,P24_18,760630380.0,772910177.0,fb,pause,01:12:40.630380,01:12:52.910177
210.0,09/02/2024 18:13,319.136087,319136087.0,0.7955,47730000,P24_18,778654543.0,826542023.0,play,pause,01:12:58.654543,01:13:46.542023
211.0,09/02/2024 18:14,366.959237,366959237.0,1.2215,73290000,P24_18,840078146.0,912000000.0,play,,01:14:00.078146,01:15:12
