Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
84.0,07/02/2024 15:58,0.0,0.0,0.7919,47514000,P24_28,136367541.0,184439580.0,play,pause,01:02:16.367541,01:03:04.439580
85.0,07/02/2024 16:02,43.1247076,43124707.6,0.0265,1590000,P24_28,189975464.0,191719403.0,play,pause,01:03:09.975464,01:03:11.719403
86.0,07/02/2024 16:03,44.801218,44801218.0,0.0305,1830000,P24_28,201599397.0,203471450.0,play,pause,01:03:21.599397,01:03:23.471450
87.0,07/02/2024 16:03,46.67333,46673330.0,0.0574,3444000,P24_28,206111375.0,209559541.0,play,pause,01:03:26.111375,01:03:29.559541
88.0,07/02/2024 16:03,50.140948,50140948.0,0.0786,4716000,P24_28,215711443.0,220471425.0,play,pause,01:03:35.711443,01:03:40.471425
89.0,07/02/2024 16:03,54.892534,54892534.0,0.357,21420000,P24_28,237607528.0,259535532.0,play,pause,01:03:57.607528,01:04:19.535532
90.0,07/02/2024 16:04,72.55440671,72554406.71,0.2149,12894000,P24_28,279327520.0,292423615.0,play,pause,01:04:39.327520,01:04:52.423615
91.0,07/02/2024 16:04,85.281664,85281664.0,0.2191,13146000,P24_28,301303563.0,314495413.0,play,pause,01:05:01.303563,01:05:14.495413
92.0,07/02/2024 16:05,98.473644,98473644.0,0.6131,36786000,P24_28,324255445.0,361119609.0,play,pause,01:05:24.255445,01:06:01.119609
93.0,07/02/2024 16:05,135.337785,135337785.0,0.0742,4452000,P24_28,368983569.0,373503544.0,play,pause,01:06:08.983569,01:06:13.503544
94.0,07/02/2024 16:06,139.860055,139860055.0,0.3175,19050000,P24_28,391423577.0,410863343.0,play,pause,01:06:31.423577,01:06:50.863343
95.0,07/02/2024 16:06,158.938371,158938371.0,0.4487,26922000,P24_28,437063637.0,464415419.0,play,pause,01:07:17.063637,01:07:44.415419
96.0,07/02/2024 16:07,185.936186,185936186.0,0.5473,32838000,P24_28,476223294.0,509175498.0,play,fb,01:07:56.223294,01:08:29.175498
97.0,07/02/2024 16:08,213.3118729,213311872.9,0.0173,1038000,P24_28,509175498.0,510719425.0,fb,fb,01:08:29.175498,01:08:30.719425
98.0,07/02/2024 16:08,214.7689212,214768921.2,0.0218,1308000,P24_28,510719425.0,511959316.0,fb,fb,01:08:30.719425,01:08:31.959316
99.0,07/02/2024 16:08,208.940728,208940728.0,0.207,12420000,P24_28,511959316.0,524625565.0,fb,pause,01:08:31.959316,01:08:44.625565
100.0,07/02/2024 16:08,221.449816,221449816.0,0.2792,16752000,P24_28,530191380.0,546959319.0,play,pause,01:08:50.191380,01:09:06.959319
101.0,07/02/2024 16:09,234.5847783,234584778.3,0.3722,22332000,P24_28,590471315.0,612895270.0,play,pause,01:09:50.471315,01:10:12.895270
102.0,07/02/2024 16:10,256.980127,256980127.0,0.2312,13872000,P24_28,633199333.0,647455264.0,play,pause,01:10:33.199333,01:10:47.455264
103.0,07/02/2024 16:10,270.872143,270872143.0,0.2923,17538000,P24_28,671247263.0,689159189.0,play,pause,01:11:11.247263,01:11:29.159189
104.0,07/02/2024 16:11,288.443907,288443907.0,0.2507,15042000,P24_28,704679215.0,720215232.0,play,fb,01:11:44.679215,01:12:00.215232
105.0,07/02/2024 16:11,297.820675,297820675.0,0.0434,2604000,P24_28,720215232.0,723007393.0,fb,pause,01:12:00.215232,01:12:03.007393
106.0,07/02/2024 16:11,300.498334,300498334.0,0.1836,11016000,P24_28,737847308.0,748880409.0,play,pause,01:12:17.847308,01:12:28.880409
107.0,07/02/2024 16:12,311.560887,311560887.0,1.5202,91212000,P24_28,771951255.0,863623345.0,play,pause,01:12:51.951255,01:14:23.623345
108.0,07/02/2024 16:14,402.856092,402856092.0,0.4618,27708000,P24_28,894231165.0,922447111.0,play,fb,01:14:54.231165,01:15:22.447111
109.0,07/02/2024 16:15,418.1728657,418172865.7,0.0194,1164000,P24_28,922447111.0,923863273.0,fb,fb,01:15:22.447111,01:15:23.863273
110.0,07/02/2024 16:15,411.4704434,411470443.4,0.4395,26370000,P24_28,923863273.0,958000000.0,fb,,01:15:23.863273,01:15:58
