Part_id,Sc_id,Answer,enddistance,maxdistance,meandistance,mindistance,startdistance,stddevdistance
P24_01,seg1,1,702.55,706.35,703.2727777777781,700.95,702.25,1.1697815560560412
P24_01,seg2,1,706.9000000000001,708.15,703.0363888888886,700.3,701.5999999999999,1.676595634178451
P24_01,seg3,1,695.45,703.8,698.7064516129036,693.0,700.75,2.5709454263442035
P24_01,seg4,0,704.75,714.45,707.593166666667,701.2,705.25,2.789060385086896
P24_01,seg5,1,701.0999999999999,705.9,700.4362068965522,696.3,703.95,1.8651742106137008
P24_01,seg6,1,700.0,703.7,698.8966463414628,696.05,698.0,2.146398975324697
P24_01,seg7,1,697.95,701.2,698.332158590309,695.6,697.05,0.994150090806047
P24_01,seg9,1,729.9,741.25,717.1684855233855,692.9,696.25,18.06537678340092
P24_01,seg10,1,721.6500000000001,732.95,726.8272517321011,720.1,725.6500000000001,2.610554800176582
P24_01,seg11,1,693.0999999999999,709.35,700.4545961002783,692.2,701.45,3.679563793537358
P24_01,seg12,1,694.25,705.45,697.6617465224115,692.2,699.1,2.2772144077511656
P24_01,seg13,1,690.7,698.7,690.8389044943816,687.35,693.3,2.024611715688638
P24_01,seg15,1,712.5,718.25,711.1802013422814,707.65,717.85,2.3393955793102914
P24_02,seg1,1,569.95,569.95,563.6304597701147,559.55,562.45,1.631098716934007
P24_02,seg2,1,605.05,608.5,603.3803370786516,593.05,598.5999999999999,3.3914575135960403
P24_02,seg3,1,602.75,608.35,603.519301470588,598.05,604.95,1.875429758649687
P24_02,seg4,0,605.15,612.55,606.5512237762237,599.45,605.5999999999999,2.339460930318211
P24_02,seg5,1,611.4000000000001,614.65,607.686181818182,603.7,608.05,1.9507835697905016
P24_02,seg6,0,608.3,608.8,605.7175496688745,603.25,605.3,1.205241312981166
P24_02,seg7,1,611.75,617.05,610.2831111111115,606.6,610.0999999999999,1.9027624066197897
P24_02,seg9,1,612.25,622.3,612.9879146919434,606.5,610.65,2.499091694820052
P24_02,seg10,1,614.3,621.7,612.2940582959643,606.75,611.45,2.195386764054334
P24_02,seg11,1,626.2,630.7,627.0043674698796,621.45,629.0,1.868434056171599
P24_02,seg12,1,623.0,629.65,623.447508305648,615.75,624.8,2.499181650572812
P24_02,seg13,0,623.4,632.1,628.3797337278106,623.4,626.25,1.6127125499143846
P24_02,seg15,1,633.4,636.4,631.8392857142853,627.75,630.3,1.3750371218747266
P24_03,seg1,1,761.3,765.4,762.4260115606938,758.1,763.05,1.941960092243287
P24_03,seg2,1,655.2,677.2,671.0880000000001,655.2,677.2,5.5761822363812
P24_03,seg4,1,702.7,721.45,710.4160000000003,702.2,712.75,4.111968907265032
P24_03,seg5,1,703.45,707.0,688.3877142857142,628.5,630.0,19.22191503815346
P24_03,seg6,1,692.3,693.7,687.2511999999998,684.4000000000001,684.7,1.7649187132885555
P24_03,seg7,1,678.5,700.2,684.7362716763005,672.75,685.35,8.022986413228407
P24_03,seg9,1,393.9,686.3,564.2933823529407,393.9,682.9,116.93642832239628
P24_03,seg10,0,695.15,701.4000000000001,673.8938805970149,552.55,559.6,36.726388396578784
P24_03,seg11,1,686.4000000000001,686.4000000000001,673.8026785714288,655.55,655.55,5.403419957791527
