Answer,Part_id,Sc_id,proportion_valid,Title_numfixations,Title_longestfixation,Title_meanfixationduration,Title_stddevfixationduration,Title_timetofirstfixation,Title_timetolastfixation,Title_proportionnum,Title_proportiontime,Title_fixationrate,Title_totaltimespent,Title_meanpupilsize,Title_stddevpupilsize,Title_maxpupilsize,Title_minpupilsize,Title_startpupilsize,Title_endpupilsize,Title_meanpupilvelocity,Title_stddevpupilvelocity,Title_maxpupilvelocity,Title_minpupilvelocity,Title_meandistance,Title_stddevdistance,Title_maxdistance,Title_mindistance,Title_startdistance,Title_enddistance,Title_proptransfrom_Title,Title_proptransfrom_Content,Content_numfixations,Content_longestfixation,Content_meanfixationduration,Content_stddevfixationduration,Content_timetofirstfixation,Content_timetolastfixation,Content_proportionnum,Content_proportiontime,Content_fixationrate,Content_totaltimespent,Content_meanpupilsize,Content_stddevpupilsize,Content_maxpupilsize,Content_minpupilsize,Content_startpupilsize,Content_endpupilsize,Content_meanpupilvelocity,Content_stddevpupilvelocity,Content_maxpupilvelocity,Content_minpupilvelocity,Content_meandistance,Content_stddevdistance,Content_maxdistance,Content_mindistance,Content_startdistance,Content_enddistance,Content_proptransfrom_Title,Content_proptransfrom_Content
0,P24_01,seg1,0.966688874083944,4,483,299.75,166.700079983984,12141410,17371052,0.0493827160493827,4.96488760264667e-05,0.0033361134278565,1199,3.815923611111112,0.1466624624277383,4.027,3.537,3.7695,3.9635,1.5894264200664058e-06,4.6848668182397175e-06,2.6086695485110465e-05,0.0,703.2499999999998,0.592797141275344,704.75,701.7,702.95,704.75,0.5,0.5,65,716,231.1076923076923,119.69702939569488,16655,24449380,0.8024691358024691,0.0006220395460129,0.0043269870856077,15022,3.9092630453379,0.1661040116655913,4.2495,2.941,3.6785,3.996,1.1884643344938193e-06,2.431559228373797e-06,3.164214950465324e-05,0.0,703.0531223267753,3.131448292809093,712.4000000000001,695.8,700.3,707.4000000000001,0.0344827586206896,0.9655172413793104
1,P24_01,seg2,0.9640239840106596,4,483,299.75,166.700079983984,5146367,10376009,0.05,4.9786170680695706e-05,0.0033361134278565,1199,3.815923611111112,0.1466624624277383,4.027,3.537,3.7695,3.9635,1.5894264200664058e-06,4.6848668182397175e-06,2.6086695485110465e-05,0.0,703.2499999999998,0.592797141275344,704.75,701.7,702.95,704.75,0.5,0.5,54,550,219.2962962962963,101.51356998787963,482993,24582636,0.675,0.0004917162912433,0.0045600405336936,11842,3.855216566866272,0.1679581155419816,4.584,2.941,3.985,3.648,1.3632507338721244e-06,3.947199183202401e-06,9.235018614146752e-05,0.0,703.6545908183633,3.426519786079038,718.0999999999999,697.4000000000001,705.5,700.9000000000001,0.0465116279069767,0.9534883720930232
0,P24_01,seg4,0.9813457694870088,3,383,294.3333333333333,83.57830659527228,4863225,10092863,0.036144578313253,3.601722430956245e-05,0.0033975084937712,883,3.5363296703296703,0.295054987528504,3.9655,2.527,3.912,2.6605,1.0381002838737887e-06,2.549366604332155e-06,1.536983669548507e-05,0.0,712.1675824175821,3.621320919425006,717.4,705.6500000000001,717.25,709.8,0.3333333333333333,0.6666666666666666,58,1482,235.81034482758625,192.494015117404,366405,24549359,0.6987951807228916,0.0005578794755174,0.0042406960590772,13677,3.550443564356434,0.1371631391536586,4.0545,3.061,3.955,3.379,1.0779613806728586e-06,2.050617729094436e-06,2.5637946562593845e-05,0.0,709.102178217821,4.209551318983588,724.6,701.2,715.05,708.7,0.0408163265306122,0.9591836734693876
0,P24_01,seg5,0.9673550966022652,2,250,216.5,47.37615433949868,14722953,15755550,0.024390243902439,1.7917519162641914e-05,0.0046189376443418,433,3.726651515151515,0.0786634926491162,3.897,3.579,3.589,3.803,4.257559050338005e-07,3.0683336650007505e-07,1.5609990393852212e-06,0.0,704.4560606060604,0.4331493636289111,705.5,702.8,704.7,704.4000000000001,0.0,1.0,61,1266,251.7377049180328,163.43427849743804,0,24865798,0.7439024390243902,0.0006354305410196,0.0039723886428757,15356,3.660254520795661,0.2128371440008106,4.329,2.754,3.77,4.0085,9.46348106852758e-07,2.072401535942512e-06,4.256979885920144e-05,0.0,705.1679475587714,2.2986787944300366,713.6,697.95,707.05,699.8,0.0377358490566037,0.9622641509433962
1,P24_01,seg6,0.9593604263824116,3,416,283.0,119.95415791042844,3714021,18670146,0.0357142857142857,3.542459591029925e-05,0.0035335689045936,849,3.911352941176472,0.1894861090254597,4.1275,3.579,3.589,4.056,5.399358523032685e-07,7.991978756500604e-07,4.833383368357785e-06,0.0,706.4897058823527,2.09616848088683,709.65,702.8,704.7,706.65,0.0,1.0,69,1266,240.18840579710144,148.89339606916548,283134,24632600,0.8214285714285714,0.0006915098092124,0.0041633982984372,16573,3.8021244881244862,0.2160472968819654,4.329,2.754,3.45,3.462,1.0347883302325402e-06,2.1902679987755978e-06,4.256979885920144e-05,0.0,703.4382473382461,2.3828225530033738,710.5,695.8,706.65,696.7,0.0483870967741935,0.9516129032258064
1,P24_01,seg7,0.972018654230513,1,416,416.0,0.0,6678640,6678640,0.0119047619047619,1.7131395580314083e-05,0.0024038461538461,416,4.044680555555555,0.2461028574971326,4.1275,2.616,4.0825,2.616,6.475912311573385e-07,1.0702597086069668e-06,4.833383368357785e-06,0.0,708.1597222222224,1.6933828967249622,709.65,699.5,709.3,699.5,0.0,1.0,62,816,239.0967741935484,110.783159884586,316445,24865829,0.7380952380952381,0.0006104706925061,0.0041824069077172,14824,3.737983629560337,0.291020068396126,4.3575,2.7425,4.149,3.603,1.185610326035131e-06,2.167173911090316e-06,2.407685379765837e-05,0.0,701.2734331150606,3.022657959935272,710.5,693.85,704.2,697.3,0.0192307692307692,0.9807692307692308
1,P24_01,seg8,0.966688874083944,1,416,416.0,0.0,1665492,1665492,0.0123456790123456,1.722593108849085e-05,0.0024038461538461,416,4.044680555555555,0.2461028574971326,4.1275,2.616,4.0825,2.616,6.475912311573385e-07,1.0702597086069668e-06,4.833383368357785e-06,0.0,708.1597222222224,1.6933828967249622,709.65,699.5,709.3,699.5,0.0,1.0,59,816,233.2372881355932,121.277160339881,166549,24849149,0.7283950617283951,0.0005698222060305,0.0042874791076229,13761,3.6783466407010654,0.2673201278911503,4.3575,2.7425,3.975,3.696,1.4182947684140466e-06,3.0131453738599622e-06,4.401080756529572e-05,0.0,700.1554040895805,2.8648696440315016,710.5,693.85,704.0999999999999,701.4000000000001,0.0204081632653061,0.979591836734694
1,P24_01,seg9,0.9447035309793472,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,2.616,,2.616,2.616,2.616,2.616,-1.0,-1.0,-1.0,-1.0,699.5,,699.5,699.5,699.5,699.5,0.0,0.0,63,1016,239.3333333333333,150.7873957254963,3064520,24915707,0.8076923076923077,0.0006388991713887,0.0041782729805013,15078,3.605333333333335,0.1924925157242884,4.053,2.3245,4.0025,3.3035,1.564390662121198e-06,4.291109693588151e-06,6.952867006904833e-05,0.0,697.7107078853037,1.9380008054093711,703.7,690.3,698.35,696.5,0.0,1.0
1,P24_01,seg10,0.9460719041278296,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,71,1016,251.98591549295776,160.1629075087297,566268,24849074,0.922077922077922,0.0007564930132324,0.0039684757699401,17891,3.5575430232558145,0.1926717763242426,4.053,2.3245,3.9065,3.56,1.3889359361965325e-06,4.048009767313014e-06,6.952867006904833e-05,0.0,697.3336434108523,2.02153358662895,703.7,690.3,700.25,697.25,0.0,1.0
1,P24_01,seg11,0.9487008660892738,1,83,83.0,0.0,16671555,16671555,0.0142857142857142,3.502122264995465e-06,0.0120481927710843,83,3.3679166666666664,0.006887791131173,3.377,3.361,3.366,3.361,2.8019613736825445e-07,2.988058820617656e-07,7.205043530471069e-07,6.003842459170544e-08,697.225,0.1541103500742686,697.45,697.05,697.15,697.35,0.0,1.0,62,1049,291.758064516129,205.8129570618749,149893,24715864,0.8857142857142857,0.0007632516825482,0.0034274973740947,18089,3.519590733590735,0.2047041312893479,4.221,2.145,2.622,3.8205,1.4068988071227288e-06,4.648709374304247e-06,7.127416836795964e-05,0.0,701.0997297297288,12.721845825576622,739.2,690.3,696.0,729.9,0.0175438596491228,0.9824561403508772
