Part_id,Sc_id,abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,maxdistance,maxpupilsize,maxpupilvelocity,meanabspathangles,meandistance,meanfixationduration,meanpathdistance,meanpupilsize,meanpupilvelocity,meanrelpathangles,mindistance,minpupilsize,minpupilvelocity,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevfixationduration,stddevpathdistance,stddevpupilsize,stddevpupilvelocity,stddevrelpathangles,Answer
P23_06,seg5,4.332323495498133e-06,536.5,4.0615000000000006,0.0006088044462952,2.948208815734001e-06,546.2,4.305,8.550498378767863e-05,1.4904689951732948,538.0739806496213,288.0845070422535,209.44976806778016,4.000021078092608,8.030317824106179e-07,1.4952835377585962,530.1500000000001,2.0115,0.0,4.284227597956133e-06,533.4,3.903,1.1896403884706812,3.3491599937186844,167.07267421940955,159.45153395423392,0.1668393592326313,3.167562941992764e-06,1.0680054408809383,1
P23_06,seg6,5.015760633824719e-06,498.75,3.8525,0.0008194521827679,3.397927943540029e-06,546.2,4.8985,3.137572809703957e-05,1.4943470517866972,520.9748620689659,246.4268292682927,244.1396316126939,4.217481034482767,9.786726171118212e-07,1.6087139156605628,490.5,1.883,0.0,5.332969724082657e-06,541.45,3.9465,1.1883613059273448,19.7299644811684,124.01025748970063,206.1793534267393,0.2773941677689863,2.1295483082629576e-06,1.0916352272049303,1
P23_06,seg7,4.5687617358240885e-06,513.7,3.923,0.0007274086325702,3.0877296170309818e-06,539.7,4.8985,3.137572809703957e-05,1.499920034280867,509.8639236111104,265.64864864864865,238.8075465931984,4.168179513888891,9.897391877170178e-07,1.6394779978692111,490.5,1.883,0.0,4.9254468037213815e-06,534.4,4.318,1.1046999445193244,13.958761942836755,156.4274467414183,213.107718112618,0.3271655949338958,2.234823197105207e-06,0.9843176040893266,1
P23_06,seg9,4.635797697714542e-06,507.3,3.9005,0.0005563998598207,2.948208570890776e-06,519.55,4.457,6.166686681878225e-05,1.594874740388462,507.8287491361441,288.36619718309856,191.42079526491293,3.9808935729094648,9.451499917438692e-07,1.603000962095515,491.8,1.99,0.0,4.592854945297674e-06,498.75,4.3335,1.1402497578455242,6.505664838452265,185.82251435454825,153.10906124371945,0.2205132421860662,2.500264924339881e-06,0.9403742606201428,1
P23_06,seg10,4.748074918569498e-06,502.7,4.045,0.0006160230380949,2.9319875923240565e-06,518.55,4.3745,6.166686681878225e-05,1.6425392020318863,507.7758762886597,293.2535211267606,213.1057337508368,3.949594501718221,9.264719831189652e-07,1.457897873076066,494.2000000000001,1.99,0.0,4.15412894023509e-06,509.2,3.741,1.01159270707024,4.857093131166267,204.6324732161721,170.7714056850719,0.1693010811861326,2.7147869527811392e-06,1.0079258531249364,0
P23_06,seg12,3.532668935432359e-06,523.9,3.655,0.0007436789109056,2.4307491300156964e-06,656.4,5.101,0.0001117982587811,1.4792774231111814,548.1286576704541,345.9824561403509,311.4097140302901,3.8175543323863614,9.6527564585244e-07,1.6300089443437118,521.35,1.833,0.0,3.82312026817492e-06,643.65,3.468,1.001892548726212,39.21986478818556,204.4257192398177,269.67962273186606,0.3635341026321,3.5863783405053342e-06,1.029675275481467,1
P23_06,seg13,4.007671223974418e-06,644.5,3.836,0.0007574159061051,2.520764800040332e-06,656.4,3.966,6.00456346823586e-05,1.616360933121885,645.3103163686387,348.1475409836066,305.4785216486408,3.6418026134800585,7.610055481730718e-07,1.342595723816605,636.8,1.892,0.0,3.273405154682174e-06,647.9,3.64,1.253631247536782,3.028998441478525,213.23866410398577,253.5838165411064,0.1876705012349321,2.236467790254336e-06,1.0697112594110036,1
P23_06,seg15,3.5173336278311654e-06,537.75,4.0205,0.0007025855360363,2.4387523124522733e-06,544.0,4.4365000000000006,0.0001634944461122,1.4675706167708729,530.4999999999999,350.08620689655174,293.1464562521457,3.788012946116164,9.965950099416452e-07,1.614861296190798,521.35,0.928,0.0,3.802445109327571e-06,530.8,3.911,1.0294387389493254,4.067074616770061,245.8072475829533,251.026992204314,0.2651526673110053,5.613881618896804e-06,0.9909304250004932,1
P23_06,seg17,4.102592649267463e-06,662.5999999999999,3.8615,0.000692943086536,2.7161706602949142e-06,670.25,4.1530000000000005,6.911252551939475e-05,1.533670000987306,664.0937671232869,318.0,259.04254091657293,3.747872602739736,9.988642359135702e-07,1.5113830054209856,659.0,2.2785,0.0,3.980774958344563e-06,662.4,3.609,1.1795040982099394,2.209343403220269,169.4658576913855,214.54688916799765,0.1727092522565506,3.1576382546697978e-06,1.0564467578780157,1
P23_07,seg1,5.897926864801035e-06,461.1,4.202500000000001,0.0012304444442249,3.841183375600951e-06,474.5,4.3260000000000005,3.128377566950882e-05,1.5628639407113862,450.40437219731,187.66666666666663,326.04969458073134,4.042304372197313,9.95799516739105e-07,1.5679018010160153,429.2,2.229,0.0,5.811279092895841e-06,464.75,3.904,1.1545157667703163,9.086176026216052,89.89087299397558,199.2158908034407,0.153212090160047,2.173173010995976e-06,1.0435171653645383,0
P23_07,seg2,4.893170064978095e-06,452.5,3.7445,0.0012415560159026,3.2832032711834083e-06,486.5,4.551,5.794403746847604e-05,1.516060583207292,470.98994439295575,228.4237288135593,384.67376211300905,3.970886005560706,9.169154040011616e-07,1.5641550087863545,449.1,2.214,0.0,4.961356168892552e-06,457.95,4.0545,1.103769297583352,7.24560889328024,99.8395615371241,284.9843827985127,0.1983137751456218,2.735308959086715e-06,0.996043525132894,0
P23_07,seg3,4.872675431741145e-06,425.7,3.593,0.0020301905543241,3.482167771784371e-06,448.55,4.192,0.0001296985709138,1.4381924867741278,432.29741379310354,194.5405405405405,599.2200471488158,3.803094827586205,1.5163094900274724e-06,1.2085606546119,412.7,1.464,0.0,3.980929288128819e-06,412.7,3.593,1.1113912059526865,8.21350433290338,126.26528391415404,593.8533504258183,0.1897621249631638,5.626103462971245e-06,1.0504566579760546,1
P23_07,seg4,5.566134049383982e-06,474.45,3.755,0.0013770128831824,3.681939003487929e-06,571.2,4.3815,4.893719226612225e-05,1.531372871530318,495.4222309505107,213.948717948718,378.8482552422156,3.846093872741562,9.191611269413348e-07,1.6646206290783372,470.2,2.273,0.0,5.971876963285575e-06,476.9,3.634,1.1691798712588588,22.6511980583382,145.6383973770063,306.0237125636574,0.2388157299164126,2.639068862126289e-06,1.0415128373679527,1
