Part_id,Sc_id,Answer,endpupilsize,maxpupilsize,maxpupilvelocity,meanpupilsize,meanpupilvelocity,minpupilsize,minpupilvelocity,startpupilsize,stddevpupilsize,stddevpupilvelocity
P24_01,seg1,0,4.114,4.23,3.404178674351586e-05,3.9223144230769273,1.733638863293225e-06,2.941,0.0,3.802,0.1591901490319029,3.555273357705082e-06
P24_01,seg2,1,3.603,3.94,1.0266570605187282e-05,3.7599277777777775,1.1037767882656912e-06,3.494,0.0,3.799,0.1224561159820237,1.7901275306797024e-06
P24_01,seg3,0,4.065,4.2135,8.03410592049958e-05,3.794987964989065,1.5584547496534474e-06,2.281,0.0,3.626,0.2019472838315636,5.59351351968685e-06
P24_01,seg4,0,3.4065000000000003,4.041,1.780246172320627e-05,3.480519444444444,1.4758733719504891e-06,3.265,0.0,3.49,0.1067443300065556,2.2238685644746687e-06
P24_01,seg5,0,4.0085,4.329,9.847484087906815e-06,3.964113425925927,1.0467901917929111e-06,2.596,0.0,3.756,0.1981901948982083,1.4236389953823002e-06
P24_01,seg6,1,3.447,4.172,2.356791161282575e-05,3.846992523364485,1.129374672624223e-06,3.237,0.0,3.7,0.2300837678024409,2.060570507758191e-06
P24_01,seg7,1,3.603,4.3575,2.3416391474031828e-05,3.835005602240901,1.7473705412126084e-06,2.616,0.0,3.4605,0.2002434998650135,3.2280859000113152e-06
P24_01,seg8,1,3.696,3.9895,4.401080756529572e-05,3.745813596491229,1.7018758903183471e-06,2.842,0.0,3.9895,0.1512557906977693,4.125498283588599e-06
P24_01,seg9,1,3.3035,4.053,6.952867006904833e-05,3.5558573369565227,1.487377175554707e-06,2.1235,0.0,3.7325,0.2254177573614176,4.59349905282874e-06
P24_01,seg10,1,3.56,3.7065,1.1138465233577532e-05,3.492986187845305,1.0384703457238765e-06,3.3355,0.0,3.4775,0.0683158398530764,1.720507572868789e-06
P24_01,seg11,1,3.8205,4.221,7.127416836795964e-05,3.694956632653061,1.8442378848597432e-06,2.379,0.0,2.419,0.2347139291760202,5.3730338256681415e-06
P24_01,seg12,1,3.357,3.9055,5.286700690483336e-05,3.3057037037037027,1.4667374603865168e-06,2.954,0.0,3.3600000000000003,0.1419076763290172,4.8054213160720135e-06
P24_01,seg13,1,3.62,4.035,1.6452503902966257e-05,3.6305391822827935,1.0454685702316871e-06,3.289,0.0,3.72,0.1049460173177907,2.026719581157013e-06
P24_01,seg14,1,3.796,4.044,0.0001247072951065,3.6427788732394353,1.3965849807315375e-06,1.555,0.0,3.3365,0.266305962217993,7.6131456854164e-06
P24_01,seg15,1,3.605,4.0925,1.1708195737015875e-05,3.842023305084747,8.603477202050028e-07,3.404,0.0,3.6975,0.1603762215332599,1.221073077503118e-06
P24_01,seg16,1,3.5780000000000003,3.9655,9.870909636745723e-05,3.5890361842105265,2.0035138896264463e-06,2.639,0.0,3.4610000000000003,0.154104154993339,5.622248703484683e-06
P24_01,seg17,1,3.503,3.6135,3.353347343140201e-05,3.366256983240222,1.1951164921546948e-06,2.792,0.0,3.5090000000000003,0.1140629937698306,3.241274329992373e-06
P24_01,seg18,1,3.585,4.8805,8.640048033623537e-05,3.458912547528518,1.6761721095912604e-06,1.971,0.0,3.4825,0.176671114825509,6.614644521905168e-06
P24_02,seg1,0,3.7705,4.3365,0.0001261558784676,3.753645161290324,1.7905967236712263e-06,1.419,0.0,3.4505,0.2873976253333465,7.913023804105517e-06
P24_02,seg2,0,3.41,4.0,9.24702774108322e-06,3.669182080924856,8.709650627687709e-07,3.349,0.0,3.55,0.1854658969223883,1.1273708491505235e-06
P24_02,seg3,0,3.633,3.9495,3.63254277994596e-05,3.675741189427312,9.485151995463436e-07,2.9165,0.0,3.3705,0.1641894220494455,2.569874891857054e-06
P24_02,seg4,0,3.4665,3.8235,3.152206544581206e-05,3.53614749262537,8.821784540632597e-07,2.087,0.0,3.579,0.1608597428811482,2.484835717262391e-06
P24_02,seg5,1,3.1255,3.3735,3.7768704215203554e-05,3.1587369565217385,8.885249219930255e-07,1.932,0.0,2.8865,0.1731506567654164,3.2742572913543286e-06
P24_02,seg6,1,3.4575,3.679,5.448487031700287e-05,3.428098989898992,1.244821804348324e-06,1.616,0.0,2.62,0.1956378783682212,4.225561503230884e-06
P24_02,seg7,1,3.6705,4.071,1.465025517862505e-05,3.670716666666663,1.0580309580531786e-06,3.095,0.0,3.533,0.1745770116712182,1.7322909653497787e-06
P24_02,seg8,0,3.545,4.0045,2.470581171950049e-05,3.5055934579439247,1.0307211896745616e-06,2.6545,0.0,3.9945,0.2136206229916232,2.4500795650180523e-06
P24_02,seg9,0,3.4080000000000004,3.9215,7.510806916426512e-05,3.5171177304964485,1.591774464040582e-06,1.35,0.0,3.5405,0.2371905332132342,5.45162372823828e-06
P24_02,seg10,0,3.4435,3.6895,6.839197790320643e-05,3.4182516339869284,1.495245333344582e-06,2.084,0.0,3.345,0.2037237481004011,5.8664799071968536e-06
P24_02,seg11,1,3.3775,4.256,3.254277994596216e-05,3.745840482573724,9.043938840474076e-07,2.818,0.0,3.925,0.203907976943171,2.615275432443592e-06
P24_02,seg12,0,3.851,3.851,3.4706376846403254e-05,3.616857394366199,7.516150843359465e-07,2.728,0.0,3.5625,0.1076640743856929,2.9606196426382185e-06
P24_02,seg13,1,3.587,3.8345,7.348703170028817e-05,3.4530494505494524,1.4153989500244316e-06,1.407,0.0,3.707,0.2244220208039217,4.864915193068058e-06
P24_02,seg14,1,2.578,3.711,3.848694085860102e-05,3.367343076923077,1.1240627030881913e-06,2.543,0.0,3.447,0.170179104062864,3.366620048030045e-06
P24_02,seg15,0,3.548,4.129,2.3716601621134795e-05,3.798170353982299,1.2856672987211926e-06,3.105,0.0,3.773,0.1912892073550957,2.797996468912716e-06
