Part_id,Sc_id,Answer,endpupilsize,maxpupilsize,maxpupilvelocity,meanpupilsize,meanpupilvelocity,minpupilsize,minpupilvelocity,startpupilsize,stddevpupilsize,stddevpupilvelocity
P24_01,seg1,1,3.857,4.2495,3.188423201633242e-05,3.875003420752569,1.0288228550579544e-06,2.375,0.0,3.9105,0.1873624243824701,2.2361839008632167e-06
P24_01,seg2,1,3.9485,4.584,9.235018614146752e-05,3.8214610091743095,1.3500558777011206e-06,2.237,0.0,4.0695,0.1996616574799406,4.208023058147944e-06
P24_01,seg3,1,4.122,4.2135,8.03410592049958e-05,3.866049533799533,1.4505559998914453e-06,2.281,0.0,4.0435,0.1990009063523847,4.680943898941309e-06
P24_01,seg4,0,3.45,4.0805,2.5637946562593845e-05,3.5456039548022624,1.54765934643136e-06,2.6605,0.0,3.463,0.1345260615642856,2.58326748658796e-06
P24_01,seg5,1,3.579,4.329,2.356791161282575e-05,3.856252037252619,1.093202169346266e-06,2.596,0.0,3.8555,0.2416361784898296,1.8173419051502787e-06
P24_01,seg6,1,3.6345,4.3575,4.401080756529572e-05,3.697360981308408,1.659170903710706e-06,2.616,0.0,3.264,0.249030171395425,3.4108659337039244e-06
P24_01,seg7,1,3.537,4.053,4.401080756529572e-05,3.646963356973997,1.4703315609804526e-06,2.3245,0.0,3.9895,0.1952328949513484,3.6700424939934255e-06
P24_01,seg9,1,3.8205,4.221,7.127416836795964e-05,3.588537102473495,1.4679232426702298e-06,2.145,0.0,3.4215,0.2284017675736012,4.488584349570784e-06
P24_01,seg10,1,3.704,4.221,8.435905133593517e-05,3.776535966981137,1.4557412584112337e-06,2.084,0.0,3.687,0.1609822936907804,4.715500195675763e-06
P24_01,seg11,1,3.657,4.205,4.401080756529572e-05,3.7057093153759846,1.2691932763603209e-06,3.0745,0.0,3.9165,0.1439904655578043,3.1743965253599467e-06
P24_01,seg12,1,3.5885,4.035,4.220954668267787e-05,3.5860991879350395,1.138655283045068e-06,2.79,0.0,3.4135,0.1447891224371188,2.5762456281319257e-06
P24_01,seg13,1,3.605,4.205,3.1850384245917414e-05,3.715137795275589,1.144161208332349e-06,3.204,0.0,3.8845,0.1710441877278911,2.396155792529646e-06
P24_01,seg15,1,3.503,3.9325,5.379765836085259e-05,3.475447098976109,1.978636518498674e-06,2.464,0.0,3.6395,0.1681878197118722,4.705722144127744e-06
P24_02,seg1,1,3.4445,4.0985000000000005,5.854097868507957e-05,3.643190012180267,1.2284117486432938e-06,1.888,0.0,3.8035,0.2231561026913995,3.5148330220171405e-06
P24_02,seg2,1,3.5385,4.1525,7.523266286400479e-05,3.7088501199040778,1.4962285540078134e-06,2.332,0.0,3.7175,0.2549273800626914,5.088601959418804e-06
