Part_id,Sc_id,Answer,fixationrate,meanfixationduration,stddevfixationduration
P24_01,seg1,1,3.354321321844112e-06,234.9,143.0869587970119
P24_01,seg2,1,3.68975221636707e-06,233.3636363636364,153.51108932404375
P24_01,seg3,1,3.2396883419815016e-06,226.46666666666667,133.62627343595625
P24_01,seg4,0,3.413765668682395e-06,179.35294117647058,78.12005278453685
P24_01,seg5,1,3.94742446135835e-06,204.21052631578948,95.35464735360216
P24_01,seg6,1,4.051953409902974e-06,178.8181818181818,98.78645472109844
P24_01,seg7,1,3.4461482996903106e-06,236.3846153846154,117.7540069545243
P24_01,seg9,1,3.0825363859914536e-06,242.0,133.32905296159709
P24_01,seg10,1,2.7797340155912503e-06,299.0,212.8550285003733
P24_01,seg11,1,3.522034434427517e-06,197.52380952380952,73.56263932705177
P24_01,seg12,1,3.531892618567494e-06,216.1315789473684,117.49690531925384
P24_01,seg13,1,2.367855882819548e-06,385.5,550.5820346897244
P24_01,seg15,1,3.6389373575128593e-06,203.61111111111111,89.25254248406195
P24_02,seg1,1,3.817714542542355e-06,178.72727272727272,52.73725610816495
P24_02,seg2,1,4.7491096267505135e-06,160.71428571428572,64.26080103337142
P24_02,seg3,1,3.101828372734308e-06,253.3571428571429,146.7628160530595
P24_02,seg4,0,3.79216332594634e-06,184.22222222222223,67.31974236743855
P24_02,seg5,1,4.163515725270196e-06,168.42105263157896,56.21221277887107
P24_02,seg6,0,4.80337581252104e-06,156.83333333333334,86.82776402776135
P24_02,seg7,1,4.011751758150208e-06,198.26666666666668,75.29296039509585
P24_02,seg9,1,4.135908816046186e-06,193.6206896551724,95.4187813921585
P24_02,seg10,1,4.047797471961582e-06,197.7333333333333,82.68800243763562
P24_02,seg11,1,4.534920337775378e-06,170.0,73.75579073311239
P24_02,seg12,1,4.1959567760505976e-06,174.21428571428572,76.76906634210374
P24_02,seg13,0,3.563351217793096e-06,219.95,126.67300422742014
P24_02,seg15,1,4.088890763561613e-06,185.1052631578948,81.12534522223558
P24_03,seg1,1,3.1417439681133933e-06,275.6666666666667,170.49560111627514
P24_03,seg2,1,2.401686944910105e-06,83.0,0.0
P24_03,seg4,1,3.212977214971269e-06,218.5625,128.26481395924606
P24_03,seg5,1,4.485960668477155e-06,170.53846153846155,54.86136373413653
P24_03,seg6,1,2.882031255628968e-06,224.8333333333333,88.05320361387578
P24_03,seg7,1,3.132653245916064e-06,227.66666666666663,95.69866923901108
P24_03,seg9,1,5.915469129237029e-07,575.0,718.4204896855323
P24_03,seg10,0,3.7751010513656414e-06,199.9047619047619,86.10453226277043
P24_03,seg11,1,4.36671211686195e-06,154.25,59.706923105002375
P24_03,seg12,0,3.587431076480444e-06,201.6315789473684,103.64855711399392
P24_03,seg13,1,4.23376380447555e-06,180.3636363636364,65.59462283948697
P24_03,seg15,1,2.645030318660028e-06,313.1,164.31571913714023
P24_04,seg1,0,3.392216559105133e-07,849.0,0.0
P24_04,seg2,0,1.0062953839218148e-06,1077.0,933.8377803451732
P24_04,seg3,0,3.2129810861844022e-06,245.8125,113.43733585846712
P24_04,seg4,0,2.8207721662321334e-06,278.57142857142856,125.41053463645788
P24_04,seg5,1,4.034461898897809e-06,200.8823529411765,76.74379645363948
P24_04,seg6,1,2.668556004317724e-06,320.625,166.00252794977035
P24_04,seg7,1,3.7038856489636527e-06,230.6315789473684,93.47442343367148
P24_04,seg9,1,2.162532646292472e-06,411.52941176470586,408.5858412939469
P24_04,seg10,1,2.0055807792157653e-06,459.0,281.3259082748453
P24_04,seg12,0,3.656433080250431e-06,216.52631578947367,84.03462806159311
P24_04,seg13,0,1.5395392159126773e-06,550.0,0.0
P24_04,seg15,1,2.939122789412272e-06,242.78571428571428,112.34711222979264
P24_05,seg1,1,3.844173322425644e-06,215.04761904761904,131.19164462361016
P24_05,seg2,0,4.4475907030529e-06,158.33333333333334,66.92582959266674
P24_05,seg3,0,3.768344773400008e-06,192.16666666666663,82.26830928519
P24_05,seg4,1,4.600016463216816e-06,177.1578947368421,59.10279478059555
P24_05,seg5,1,4.51647423829662e-06,168.58823529411765,54.784491085142974
P24_05,seg6,1,3.0790989735310387e-06,241.3333333333333,96.76500744931852
P24_05,seg7,0,4.740148982882532e-06,138.83333333333334,34.40591034497804
P24_05,seg9,1,4.140846761754312e-06,154.0,120.4048725481379
P24_05,seg10,1,3.1365492223150243e-06,274.85714285714283,221.5691790364831
P24_05,seg11,1,3.920292610640458e-06,192.1052631578948,69.3468694613792
P24_05,seg12,0,5.110006952164458e-06,150.0,46.98600015458132
P24_05,seg13,0,4.755832582803504e-06,147.875,43.10928802805393
P24_06,seg1,0,2.4295053006599576e-06,525.7142857142857,672.6657699743894
P24_06,seg2,1,3.710536337788338e-06,242.3636363636364,180.4573482722567
P24_06,seg3,1,2.4507376209668773e-06,348.3333333333333,235.6277238408593
P24_06,seg4,1,4.217080017486825e-06,199.1428571428572,67.67886355006688
P24_06,seg5,1,4.409954828493465e-06,187.07692307692307,87.12869938436047
P24_06,seg6,0,2.3480595803346656e-06,409.1428571428572,422.59256523331806
P24_06,seg7,0,4.025240944214186e-06,184.5833333333333,75.6480587185077
P24_06,seg9,1,4.277043871777515e-06,178.15384615384616,95.17339641210344
P24_06,seg10,1,2.969879865776925e-06,308.4782608695652,164.95257433170335
P24_06,seg11,1,3.710522569759511e-06,240.8636363636364,183.623137730398
P24_06,seg12,1,4.273911885488349e-06,180.46341463414635,94.2040597747718
P24_06,seg13,0,2.0411249251800143e-06,396.8333333333333,186.434893989751
P24_06,seg15,1,3.828255588850185e-06,198.05263157894737,89.56591221876181
P24_07,seg1,1,1.677194416015999e-06,513.0,514.2125047098718
P24_07,seg2,1,4.025234193156901e-06,208.16666666666663,85.58231904624537
