Answer,Part_id,Sc_id,proportion_valid,Title_numfixations,Title_longestfixation,Title_meanfixationduration,Title_stddevfixationduration,Title_timetofirstfixation,Title_timetolastfixation,Title_proportionnum,Title_proportiontime,Title_fixationrate,Title_totaltimespent,Title_meanpupilsize,Title_stddevpupilsize,Title_maxpupilsize,Title_minpupilsize,Title_startpupilsize,Title_endpupilsize,Title_meanpupilvelocity,Title_stddevpupilvelocity,Title_maxpupilvelocity,Title_minpupilvelocity,Title_meandistance,Title_stddevdistance,Title_maxdistance,Title_mindistance,Title_startdistance,Title_enddistance,Title_proptransfrom_Title,Title_proptransfrom_Content,Content_numfixations,Content_longestfixation,Content_meanfixationduration,Content_stddevfixationduration,Content_timetofirstfixation,Content_timetolastfixation,Content_proportionnum,Content_proportiontime,Content_fixationrate,Content_totaltimespent,Content_meanpupilsize,Content_stddevpupilsize,Content_maxpupilsize,Content_minpupilsize,Content_startpupilsize,Content_endpupilsize,Content_meanpupilvelocity,Content_stddevpupilvelocity,Content_maxpupilvelocity,Content_minpupilvelocity,Content_meandistance,Content_stddevdistance,Content_maxdistance,Content_mindistance,Content_startdistance,Content_enddistance,Content_proptransfrom_Title,Content_proptransfrom_Content
0,P23_10,seg2,0.9317235636969192,2,300,275.0,35.35533905932738,11025269,18536442,0.0408163265306122,2.953858157664704e-05,0.0036363636363636,550,3.6836666666666673,0.102630892035488,3.878,3.3745000000000003,3.69,3.878,1.2750586683607607e-06,2.1587534949224435e-06,1.0477334133893732e-05,6.004202942061446e-08,690.3277777777779,0.6152170864760387,691.5,689.25,690.3499999999999,690.45,0.0,1.0,28,1732,403.2857142857143,359.6909019888395,49964,19768874,0.5714285714285714,0.0006064539330245,0.0024796315975912,11292,4.153279822335024,0.2920315861864788,4.7005,3.023,4.031,3.932,7.001066846988997e-07,2.310712545541113e-06,6.130659301068809e-05,0.0,689.4656091370562,2.475526462717884,694.8,683.3,689.4,692.3,0.0476190476190476,0.9523809523809524
1,P23_10,seg3,0.8682235195996664,9,550,214.77777777777777,161.8392549551698,333091,18750500,0.1764705882352941,0.0001116007186093,0.0046559751681324,1933,3.7035945945945934,0.2604992678339257,4.011,2.192,4.011,3.749,1.938309450904428e-06,7.174785835184837e-06,7.631800168127777e-05,0.0,685.2229729729729,3.575523264014589,690.5,678.4,686.6500000000001,678.65,0.625,0.375,31,1016,313.2258064516129,251.46420682042992,2015195,19849698,0.6078431372549019,0.0005606016439195,0.0031925849639546,9710,3.9905700867051954,0.2206126627419115,4.782,2.552,4.041,3.7595,1.285170033567108e-06,3.924721825027003e-06,5.709996997898529e-05,0.0,683.7898121387282,4.485654199453392,701.7,676.5,690.1,676.8,0.1153846153846153,0.8846153846153846
1,P23_10,seg4,0.3250214961306965,3,183,144.33333333333334,66.9726312259966,15128100,15611082,0.15,6.878033562262247e-05,0.0069284064665127,433,3.840559523809524,0.0783722513721123,4.0205,3.723,4.0205,3.723,1.2423204557642765e-06,2.491689657693173e-06,1.6301410987691388e-05,0.0,651.3988095238097,6.17594159993119,668.8499999999999,635.5,668.8499999999999,635.5,0.6666666666666666,0.3333333333333333,14,500,219.07142857142856,109.85547448682416,2509932,17559658,0.7,0.0004871808068235,0.0045647212259537,3067,4.003531512605042,0.2900608950589997,5.05,3.247,5.05,3.7485,1.736392507282631e-06,2.244745310482469e-06,2.209546682677877e-05,0.0,639.6346638655464,29.75999045267114,676.9000000000001,579.4,620.7,648.25,0.0,1.0
1,P23_10,seg5,0.3788135593220339,4,333,229.0,104.90312991835214,14754479,17519121,0.1666666666666666,0.0001230430645352,0.0043668122270742,916,4.239947916666666,0.2036310580070921,4.55,3.884,4.329,4.141,8.850292538298544e-07,1.116807605855291e-06,9.066890837036136e-06,0.0,638.9104166666666,2.884029679629256,646.8,627.7,629.4,633.55,0.6666666666666666,0.3333333333333333,15,400,210.9333333333333,79.31624465811947,449672,19650892,0.625,0.0004250090133074,0.004740834386852,3164,3.9952121848739486,0.2968881577384533,4.883,3.328,4.883,4.035,1.5593379908836716e-06,2.7731466716801613e-06,3.272683600552452e-05,0.0,637.5361344537819,6.445054769826657,665.7,623.05,665.7,641.1,0.0833333333333333,0.9166666666666666
1,P23_10,seg6,0.5547201336675021,2,1166,749.5,589.0199487283941,9443098,9826150,0.074074074074074,0.0001357554004657,0.0013342228152101,1499,3.8561666666666654,0.2037141193541636,4.527,2.817,4.172000000000001,3.844,1.4655976735933533e-06,4.580179028214512e-06,4.136895827078953e-05,0.0,652.1234234234232,5.392376014589399,664.1,637.3,662.5999999999999,637.3,1.0,0.0,17,916,331.2352941176471,266.69845551946975,699490,19282320,0.6296296296296297,0.0005099657505154,0.0030190019534718,5631,3.905450980392157,0.2210860979386519,4.7285,2.944,3.9815,4.539,1.0780929475619285e-06,2.961704965187964e-06,4.271990393275293e-05,0.0,661.5062499999998,2.744839501356388,671.8499999999999,652.85,656.15,657.85,0.0714285714285714,0.9285714285714286
1,P23_10,seg7,0.2308984047019311,1,217,217.0,0.0,10721911,10721911,0.0769230769230769,4.755300352001795e-05,0.0046082949308755,217,3.801718390804597,0.2504702867438899,4.527,3.3445,3.77,3.3485,8.696026890948026e-07,2.0590061792979046e-06,1.927349144401079e-05,0.0,648.4844827586205,4.876791920786948,652.75,637.05,649.5,641.9000000000001,0.0,1.0,10,400,201.6,90.74286014153768,9272972,19579218,0.7692307692307693,0.0004417827423795,0.0049603174603174,2016,3.726086092715232,0.2912894880903954,4.7285,3.093,4.6865,3.6165,1.2397592326772942e-06,2.399223936731328e-06,2.0895880869460783e-05,0.0,645.3996688741722,5.220643308663357,671.8499999999999,637.0,671.8499999999999,644.6,0.125,0.875
1,P23_10,seg9,0.2377740303541315,1,217,217.0,0.0,732797,732797,0.0625,4.620380391446292e-05,0.0046082949308755,217,3.413277777777778,0.1444115057969272,3.811,3.3445,3.807,3.3485,5.787618844499736e-07,5.987590931169747e-07,2.191665665906074e-06,6.004563468237864e-08,642.786111111111,1.7997389970538362,644.75,637.05,637.05,641.9000000000001,0.0,1.0,15,400,231.06666666666663,82.82293218208405,216508,17510362,0.9375,0.0007379833380992,0.0043277553375649,3466,3.7925781250000026,0.2462723897455425,4.4725,3.093,3.802,3.144,1.2591350212828336e-06,2.643391060149265e-06,2.221555088561992e-05,0.0,643.5591796874996,4.321719396274452,655.2,637.0,639.3499999999999,653.8,0.0714285714285714,0.9285714285714286
0,P23_10,seg10,0.5209731543624161,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,1.745,0.0,1.745,1.745,1.745,1.745,0.0,,0.0,0.0,649.25,0.0707106781185904,649.3,649.2,649.2,649.3,0.0,0.0,24,1682,350.4583333333333,413.7510256565948,3509085,19859971,0.9230769230769232,0.0008145620569226,0.0028534062537153,8411,4.008579824561403,0.2475792522559121,4.527,3.144,4.239000000000001,4.1080000000000005,1.1157999741424854e-06,4.865592477435041e-06,0.0001083758631041,0.0,650.6462280701751,3.218643349208478,660.35,642.45,652.45,658.95,0.0,1.0
1,P23_10,seg11,0.3484848484848485,1,150,150.0,0.0,18822891,18822891,0.05,2.180766338737563e-05,0.0066666666666666,150,3.971513888888889,0.2560012691405791,4.281499999999999,3.483,3.517,4.218999999999999,1.5536455484773004e-06,2.0273810976249246e-06,8.856199339537674e-06,0.0,648.8055555555553,3.164372602626614,652.95,637.6,639.2,652.95,0.0,1.0,13,550,216.7692307692308,139.48665040435102,5111131,18239983,0.65,0.0004096933028374,0.0046132008516678,2818,3.9955796019900527,0.2782735994158281,4.722,3.575,4.659,3.629,1.342604056968142e-06,1.3562636997703508e-06,1.212848994296007e-05,0.0,629.6079601990049,2.957014764658426,641.05,620.9,630.5,639.25,0.0,1.0
1,P23_10,seg12,0.1847187237615449,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,13,366,193.46153846153845,76.31034812375863,133236,9074102,0.9285714285714286,0.0006864105450127,0.005168986083499,2515,3.7486081730769234,0.2367528809705469,4.3665,3.399,3.789,3.4935,7.820228420788415e-07,8.309916359720242e-07,5.7043352948240784e-06,0.0,680.9903846153845,8.230763187778443,703.7,663.1500000000001,703.7,672.25,0.0,1.0
