Part_id,Sc_id,Answer,fixationrate,meanfixationduration,stddevfixationduration
P24_01,seg1,1,3.408366631181783e-06,237.22222222222223,122.52409638520636
P24_01,seg2,1,3.2918687036795926e-06,225.72916666666663,121.8489556067517
P24_01,seg3,1,3.600477937728534e-06,225.2952380952381,108.53561306792028
P24_01,seg4,0,3.352792874754061e-06,233.3877551020408,186.5187662349157
P24_01,seg5,1,3.568589290919922e-06,225.25242718446603,135.7126952639867
P24_01,seg6,1,3.5094163896138785e-06,225.4752475247525,111.56196431216206
P24_01,seg7,1,3.43499914317802e-06,229.1428571428572,120.07257255681822
P24_01,seg9,1,3.0196772351273435e-06,271.1744186046512,189.32724187069297
P24_01,seg10,1,3.057217423793079e-06,267.1279069767442,184.80067459207328
P24_01,seg11,1,3.3187511471703585e-06,231.7142857142857,194.3270173977916
P24_01,seg12,1,3.6087191604015854e-06,226.9047619047619,115.95038095017564
P24_01,seg13,1,3.101566840771323e-06,259.5,289.5160228252099
P24_01,seg15,1,3.492858344649903e-06,209.76,106.01535242357568
P24_02,seg1,1,3.635659018811944e-06,222.7722772277228,183.75112958499705
P24_02,seg2,1,4.2115978766347385e-06,180.1452991452992,75.69280758402904
P24_02,seg3,1,3.672426409922939e-06,220.63106796116503,130.73712513308513
P24_02,seg4,0,3.797426634433918e-06,204.76415094339623,110.34513404481176
P24_02,seg5,1,4.219761004895316e-06,184.728813559322,97.06880641986332
P24_02,seg6,0,4.27307646641119e-06,181.5555555555556,90.63620389192552
P24_02,seg7,1,4.1923875720133705e-06,186.8782608695652,89.97671704937886
P24_02,seg9,1,3.973118253218189e-06,196.65420560747663,96.79185046816526
P24_02,seg10,1,4.053948485563543e-06,195.57657657657657,96.76029891621587
P24_02,seg11,1,4.154796236107584e-06,185.6637168141593,83.8730557172425
P24_02,seg12,1,4.228333385482778e-06,177.33913043478262,72.783009266131
P24_02,seg13,0,3.939599662989136e-06,197.78703703703704,97.64000740139468
P24_02,seg15,1,4.077382955204175e-06,193.8938053097345,82.34101161284116
P24_03,seg1,1,2.2325642566665467e-06,398.74242424242425,518.7450629416536
P24_03,seg2,1,2.398000362835901e-06,359.7692307692308,324.2850728085637
P24_03,seg4,1,3.253526144522716e-06,238.7878787878788,178.83524993704853
P24_03,seg5,1,3.896996325132465e-06,203.6296296296296,152.43362947857466
P24_03,seg6,1,3.1772913933041925e-06,231.1025641025641,203.1015813864417
P24_03,seg7,1,3.129936659993468e-06,236.8333333333333,175.56438450706514
P24_03,seg9,1,2.652470004181257e-06,266.9318181818182,188.9165433714264
P24_03,seg10,0,2.7373032124454943e-06,243.3913043478261,184.1917452922808
P24_03,seg11,1,2.885572564464385e-06,282.2307692307692,219.34194053538428
P24_03,seg12,0,3.880063425226607e-06,190.0338983050848,106.90633446309114
P24_03,seg13,1,3.0520489209037102e-06,265.3636363636364,214.4512690597722
P24_03,seg15,1,3.5061194658711865e-06,237.921875,152.74351410515104
P24_04,seg1,0,1.6145818266706044e-06,562.7916666666666,829.8525620992533
P24_04,seg2,0,1.878417293890327e-06,484.2321428571428,764.4784791803297
P24_04,seg3,0,2.098436434705052e-06,415.06451612903226,585.0297700416689
P24_04,seg4,0,2.9987415056856307e-06,282.08988764044943,169.72897114687922
P24_04,seg5,1,2.9963573514167853e-06,289.5769230769231,185.49355148456684
P24_04,seg6,1,2.910107797240122e-06,291.7058823529412,189.39377433254305
P24_04,seg7,1,3.2608050579868965e-06,259.16,144.12185534883037
P24_04,seg9,1,2.864713384256634e-06,294.44897959183675,265.70911893338126
P24_04,seg10,1,2.1712651403647583e-06,411.6530612244898,330.28715732301345
P24_04,seg11,1,2.9229527912676787e-06,279.7291666666667,157.5352361237554
P24_04,seg12,0,3.6997924944952375e-06,213.22857142857143,121.3109969590279
P24_04,seg13,0,2.6701483476689026e-06,312.05405405405406,168.74585524884358
P24_04,seg15,1,3.437995746708119e-06,247.53571428571428,186.10202131535905
P24_05,seg1,1,3.8996601353343e-06,206.3333333333333,111.49367116422984
P24_05,seg2,0,3.991082747294677e-06,174.2058823529412,82.72893316604491
P24_05,seg3,0,4.032689428584711e-06,190.63888888888889,94.3692300874686
P24_05,seg4,1,4.325514091211806e-06,173.21428571428572,69.51693412981436
P24_05,seg5,1,4.51647423829662e-06,168.58823529411765,54.784491085142974
P24_05,seg6,1,4.357918774204608e-06,177.11111111111111,69.99910152163726
P24_05,seg7,0,4.307195005583417e-06,175.92,69.72272782608412
P24_05,seg9,1,4.2572781840623945e-06,168.31034482758622,90.89754964804996
P24_05,seg10,1,3.6780932764454895e-06,217.02702702702703,158.16455679774475
P24_05,seg11,1,3.906870488785483e-06,172.78947368421052,67.01276921269067
P24_05,seg12,0,4.088909242570452e-06,190.0,113.88386942094
P24_05,seg13,0,4.026167991334286e-06,168.45652173913044,63.816997569174006
