# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Comment","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Free Comment","options":{"default":"Default"},"default_option_id":""},"3":{"aname":"Scene","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Video part","options":{},"default_option_id":""},"4":{"aname":"Type","anchor_id":"FILE1_Z1_XY1","type":3,"desc":"Type of AOI","options":{"0":"Title","1":"Chart","2":"Formula","3":"Chemistry","4":"Picture","5":"Text","6":"Data"},"default_option_id":"0"},"5":{"aname":"Importance","anchor_id":"FILE1_Z1_XY1","type":3,"desc":"Importance","options":{"0":"High","1":"Med","2":"Low"},"default_option_id":"1"},"6":{"aname":"AOI_Name","anchor_id":"FILE1_Z1_XY1","type":1,"desc":"AOI_Name","options":{},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_sEujFLZ1","[""chimie-verte_version-française_default.mp4""]",0,"[278.2211]","[2,116.898,43.619,683.07,111.664]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P10_title""}"
"1_kexik5U2","[""chimie-verte_version-française_default.mp4""]",0,"[276.941,296.62743]","[]","{""1"":""_DEFAULT"",""3"":""degradable""}"
"1_Pd8zutE1","[""chimie-verte_version-française_default.mp4""]",0,"[279.98142]","[2,710.113,150.048,196.284,331.503]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""2"",""6"":""bleach_pic""}"
"1_MXXyfexK","[""chimie-verte_version-française_default.mp4""]",0,"[280.18976]","[2,211.987,172.73,339.354,59.322]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""5"",""5"":""0"",""6"":""polymer_text""}"
"1_bJj3wJfz","[""chimie-verte_version-française_default.mp4""]",0,"[282.18976]","[2,88.34725,240.775,573.35559,212.68076]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""polymer_chart""}"
"1_XBi9tRnj","[""chimie-verte_version-française_default.mp4""]",0,"[298.27326,300.50243]","[]","{""1"":""_DEFAULT"",""3"":""transisolvants""}"
"1_X6vkzLYl","[""chimie-verte_version-française_default.mp4""]",0,"[299.54392]","[2,114.281,47.981,698.772,111.664]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P5_title""}"
"1_IE3DXckp","[""chimie-verte_version-française_default.mp4""]",0,"[301.455,313.18993]","[]","{""1"":""_DEFAULT"",""3"":""solvants""}"
"1_q1yGqsi9","[""chimie-verte_version-française_default.mp4""]",0,"[314.797,321.7316]","[]","{""1"":""_DEFAULT"",""3"":""foie""}"
"1_eopLai21","[""chimie-verte_version-française_default.mp4""]",0,"[321.58559]","[2,210.242,43.619,476.317,479.806]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""2"",""6"":""liver_pic""}"
"1_wAvUpele","[""chimie-verte_version-française_default.mp4""]",0,"[323.247,335.12743]","[]","{""1"":""_DEFAULT"",""3"":""rendement""}"
"1_GnBzIKPC","[""chimie-verte_version-française_default.mp4""]",0,"[324.46059]","[2,132.601,42.746,669.984,124.75]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P6_title""}"
"1_tNn7AUNs","[""chimie-verte_version-française_default.mp4""]",0,"[328.06457]","[2,152.666,188.433,186.688,318.417]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""0"",""6"":""temperature_pic""}"
"1_Ecn6yaQH","[""chimie-verte_version-française_default.mp4""]",0,"[328.73142]","[2,549.596,192.795,284.394,302.714]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""0"",""6"":""pressure_pic""}"
"1_dQFPaJxg","[""chimie-verte_version-française_default.mp4""]",0,"[335.997,342.21076]","[]","{""1"":""_DEFAULT"",""3"":""NH3""}"
"1_fZxbX0WX","[""chimie-verte_version-française_default.mp4""]",0,"[340.87726]","[2,121.26,58.449,187.561,270.436]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""1"",""6"":""temp_pic2""}"
"1_caeFWmrv","[""chimie-verte_version-française_default.mp4""]",0,"[343.075,355.7941]","[]","{""1"":""_DEFAULT"",""3"":""arbre""}"
"1_HI3GOX8P","[""chimie-verte_version-française_default.mp4""]",0,"[343.60642]","[2,148.304,129.984,611.534,341.971]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""0"",""6"":""plant_pic""}"
"1_dWv7EL59","[""chimie-verte_version-française_default.mp4""]",0,"[350.20431]","[2,589.725,61.066,218.094,134.346]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""5"",""5"":""0"",""6"":""pressure3""}"
"1_UbKaw4kr","[""chimie-verte_version-française_default.mp4""]",0,"[350.20431]","[2,75.897,340.226,273.053,126.495]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""5"",""5"":""0"",""6"":""temperature3""}"
"1_tEKoe6Gz","[""chimie-verte_version-française_default.mp4""]",0,"[357.522,368.5441]","[]","{""1"":""_DEFAULT"",""3"":""catalyse""}"
"1_m4OauXz2","[""chimie-verte_version-française_default.mp4""]",0,"[364.71059]","[6,136.09,112.536,135.218,437.06,493.764,436.187,258.223,92.472,132.60097,111.66397]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""1"",""5"":""0"",""6"":""catalysis""}"
"1_EcDX46ub","[""chimie-verte_version-française_default.mp4""]",0,"[370.335,395.43993]","[]","{""1"":""_DEFAULT"",""3"":""derive""}"
"1_T9dwRGFb","[""chimie-verte_version-française_default.mp4""]",0,"[371.85642]","[2,178.95586,43.619,576.64,116.898]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P8_title""}"
"1_MeRegXn2","[""chimie-verte_version-française_default.mp4""]",0,"[389.98142]","[2,27.916,227.69,909.887,191.922]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""1"",""5"":""0"",""6"":""derivatives""}"
"1_z85BZKBs","[""chimie-verte_version-française_default.mp4""]",0,"[395.839,402.93993]","[]","{""1"":""_DEFAULT"",""3"":""derivetableau""}"
"1_v6L6AsXu","[""chimie-verte_version-française_default.mp4""]",0,"[397.04392]","[2,72.407,164.879,652.536,305.331]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""6"",""5"":""0"",""6"":""derivatives_datatab""}"
"1_dZQ9YMti","[""chimie-verte_version-française_default.mp4""]",0,"[404.124,417.83576]","[]","{""1"":""_DEFAULT"",""3"":""usine""}"
"1_fdbE0y8j","[""chimie-verte_version-française_default.mp4""]",0,"[405.50226]","[2,241.648,54.087,448.4,109.919]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P11_title""}"
"1_HUEJPDHb","[""chimie-verte_version-française_default.mp4""]",0,"[411.16892]","[2,2.617,150.55092,955.251,326.3439]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""1"",""6"":""productionline""}"
"1_RcrWiu93","[""chimie-verte_version-française_default.mp4""]",0,"[419.252,425.00243]","[]","{""1"":""_DEFAULT"",""3"":""fiable""}"
"1_XmiWXs6s","[""chimie-verte_version-française_default.mp4""]",0,"[420.29392]","[2,109.047,48.853,724.071,109.047]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P12_title""}"
"1_bdHHMIdl","[""chimie-verte_version-française_default.mp4""]",0,"[421.37726]","[2,3.489,145.1419,953.506,335.35893]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""1"",""6"":""explosion_pic""}"
"1_cJjONgnq","[""chimie-verte_version-française_default.mp4""]",0,"[426.171,431.33576]","[]","{""1"":""_DEFAULT"",""3"":""transi_fin""}"
"1_UjAxDLYo","[""chimie-verte_version-française_default.mp4""]",0,"[427.46059]","[2,198.901,162.262,558.32,185.816]","{""1"":""AOI"",""3"":""outro"",""4"":""0"",""5"":""2"",""6"":""enditle""}"
"1_8tW0eEzR","[""chimie-verte_version-française_default.mp4""]",0,"[432.148,438.83576]","[]","{""1"":""_DEFAULT"",""3"":""fin""}"
"1_AdW2n7WU","[""chimie-verte_version-française_default.mp4""]",0,"[434.39809]","[2,323.651,87.237,305.331,370.76]","{""1"":""AOI"",""3"":""outro"",""4"":""5"",""5"":""1"",""6"":""endkeywords""}"
"1_7pXFQLRw","[""chimie-verte_version-française_default.mp4""]",0,"[1.124]","[2,292.087,382.237,0,1.803]","{""1"":""_DEFAULT"",""4"":""6"",""5"":""1""}"
"1_jHwYyeh7","[""chimie-verte_version-française_default.mp4""]",0,"[1.124]","[2,294.791,379.533,0,0.901]","{""1"":""_DEFAULT"",""4"":""6"",""5"":""1""}"
"1_dD5nDUmW","[""chimie-verte_version-française_default.mp4""]",0,"[15.544,18.83576]","[]","{""1"":""_DEFAULT"",""3"":""tab_periodique""}"
"1_7zyNSVl7","[""chimie-verte_version-française_default.mp4""]",0,"[15.77309]","[2,255.125,106.377,695.96,381.336]","{""1"":""AOI"",""3"":""introduction"",""4"":""4"",""5"":""1"",""6"":""periodictab""}"
"1_KnRrGjjQ","[""chimie-verte_version-française_default.mp4""]",0,"[15.77309]","[2,348.881,53.189,540.902,45.976]","{""1"":""AOI"",""3"":""introduction"",""4"":""0"",""5"":""2"",""6"":""periodictab_title""}"
"1_4GC7pHvK","[""chimie-verte_version-française_default.mp4""]",0,"[52.69,59.89826]","[]","{""1"":""_DEFAULT"",""3"":""accident_EU""}"
"1_u7WX8xFR","[""chimie-verte_version-française_default.mp4""]",0,"[130.18976]","[2,192.922,193.823,0.901,0]","{""1"":""_DEFAULT"",""4"":""6"",""5"":""1""}"
"1_sX0yo2dI","[""chimie-verte_version-française_default.mp4""]",0,"[197.81476]","[2,289.382,46.878,396.661,105.476]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P2_title2""}"
"1_AJRIOp0t","[""chimie-verte_version-française_default.mp4""]",0,"[200.98142]","[2,346.177,386.745,283.973,77.529]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""5"",""5"":""0"",""6"":""Sheldon_text2""}"
"1_i93bykO6","[""chimie-verte_version-française_default.mp4""]",0,"[206.211,225.75243]","[]","{""1"":""_DEFAULT"",""3"":""petitesmolecules""}"
"1_gYiQANrF","[""chimie-verte_version-française_default.mp4""]",0,"[206.79392]","[2,366.91152,157.763,224.47448,218.164]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""2"",""6"":""Sheldon_pic3""}"
"1_CK1zAnhs","[""chimie-verte_version-française_default.mp4""]",0,"[247.37726]","[2,383.139,187.513,466.076,188.414]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""petrol_molecule""}"
"1_iTh9uzjF","[""chimie-verte_version-française_default.mp4""]",0,"[306.52309]","[2,241.603,51.386,439.933,58.597]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""solvent_title""}"
"1_XX91CnZX","[""chimie-verte_version-française_default.mp4""]",0,"[306.52309]","[2,103.673,116.294,729.315,316.427]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""0"",""6"":""solvent_pic""}"
"1_k9uY7DoB","[""chimie-verte_version-française_default.mp4""]",0,"[306.52309]","[2,121.703,433.6227,739.232,57.6963]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""5"",""5"":""0"",""6"":""solvent_text""}"
"1_1R9ZNU7j","[""chimie-verte_version-française_default.mp4""]",0,"[330.9191]","[2,393.055,195.626,140.634,257.83]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""0"",""6"":""arrowdown_temp_press""}"
"1_ReCc2YuR","[""chimie-verte_version-française_default.mp4""]",0,"[340.87726]","[2,651.786,60.401,211.853,248.814]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""1"",""6"":""pressure_pic2""}"
"1_bNtRnBCA","[""chimie-verte_version-française_default.mp4""]",0,"[340.87726]","[7,497.629,120.801,316.427,285.776,302.003,462.471,678.831,457.062,646.377,306.511]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""2"",""6"":""factory_pic""}"
"1_pqH9BJzX","[""chimie-verte_version-française_default.mp4""]",0,"[340.87726]","[2,450.751,62.204,109.984,56.794]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""1"",""6"":""NH3_factory""}"
"1_2dqva0DO","[""chimie-verte_version-française_default.mp4""]",0,"[364.71059]","[2,330.851,58.598,272.254,85.642]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P9_title""}"
"1_EpqMTPQb","[""chimie-verte_version-française_default.mp4""]",0,"[364.71059]","[7,653.58932,116.29382,507.54591,209.14858,407.47913,230.78464,601.302,521.068,896.093,511.152,941.169,203.74]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""1"",""5"":""0"",""6"":""catalysis2""}"
"1_6huLRmZl","[""chimie-verte_version-française_default.mp4""]",0,"[364.71059]","[7,510.25,214.558]","{""1"":""_DEFAULT"",""4"":""6"",""5"":""1""}"
"1_i2AsZ8YW","[""chimie-verte_version-française_default.mp4""]",0,"[397.04392]","[2,187.513,47.78,561.636,96.46]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P8_title2""}"
"1_I02kblVS","[""chimie-verte_version-française_default.mp4""]",0,"[1.124]","[2,292.218,383.347,0.753,0]","{""1"":""_DEFAULT"",""4"":""6"",""5"":""1""}"
"1_vDk5WHkq","[""chimie-verte_version-française_default.mp4""]",0,"[364.71059]","[2,274.895,302.762,0.754,0.753]","{""1"":""_DEFAULT"",""4"":""6"",""5"":""1""}"
"1_RVs3YFfM","[""chimie-verte_version-française_default.mp4""]",0,"[364.71059]","[2,317.071,226.695,0,1.506]","{""1"":""_DEFAULT"",""4"":""6"",""5"":""1""}"
"1_Yr7XH7o0","[""chimie-verte_version-française_default.mp4""]",0,"[137.29511]","[2,152.449,297.551,124.898,52.347]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""5"",""5"":""1"",""6"":""oxyrane_text""}"
"1_oEPxXkLM","[""chimie-verte_version-française_default.mp4""]",0,"[137.29511]","[2,480.30612,300.306,343.46988,124.898]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""5"",""5"":""1"",""6"":""oxyrane_text""}"
"1_XlE1PrD4","[""chimie-verte_version-française_default.mp4""]",0,"[130.18976]","[2,292.041,364.592,129.49,62.449]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""5"",""5"":""1"",""6"":""DDT_text""}"
"1_361RQPXv","[""chimie-verte_version-française_default.mp4""]",0,"[130.18976]","[2,624.49,363.673,178.163,104.694]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""5"",""5"":""1"",""6"":""DDT_text""}"
"1_0yBdjXx3","[""chimie-verte_version-française_default.mp4""]",0,"[167.29392]","[2,472.95918,416.02,359.08164,55.102]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""5"",""5"":""1"",""6"":""Sheldon_text""}"
