# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Comment","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Free Comment","options":{"default":"Default"},"default_option_id":""},"3":{"aname":"Scene","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Video part","options":{},"default_option_id":""},"4":{"aname":"Type","anchor_id":"FILE1_Z1_XY1","type":3,"desc":"Type of AOI","options":{"0":"Title","1":"Chart","2":"Formula","3":"Chemistry","4":"Picture","5":"Text","6":"Data"},"default_option_id":"0"},"5":{"aname":"Importance","anchor_id":"FILE1_Z1_XY1","type":3,"desc":"Importance","options":{"0":"High","1":"Med","2":"Low"},"default_option_id":"1"},"6":{"aname":"AOI_Name","anchor_id":"FILE1_Z1_XY1","type":1,"desc":"AOI_Name","options":{},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_JaXhV74r","[""chimie-verte_version-française_default.mp4""]",0,"[72.87726]","[2,45.363,121.68793,875.865,330.45076]","{""1"":""AOI"",""3"":""introduction"",""4"":""4"",""5"":""2"",""6"":""threeplanets""}"
"1_yN0oS7Da","[""chimie-verte_version-française_default.mp4""]",0,"[76.524,90.6066]","[]","{""1"":""_DEFAULT"",""3"":""transi_chimieverte""}"
"1_I4czLiQB","[""chimie-verte_version-française_default.mp4""]",0,"[79.98142]","[2,369.015,122.13247,234.668,265.20153]","{""1"":""AOI"",""3"":""greenchemistry"",""4"":""4"",""5"":""1"",""6"":""greenchem_logo""}"
"1_xf5tXuAZ","[""chimie-verte_version-française_default.mp4""]",0,"[81.25226]","[2,663.005,119.515,182.326,242.521]","{""1"":""AOI"",""3"":""greenchemistry"",""4"":""4"",""5"":""1"",""6"":""greenchem_logo2""}"
"1_zNY4Xoax","[""chimie-verte_version-française_default.mp4""]",0,"[83.31476]","[2,125.622,104.685,195.412,256.478]","{""1"":""AOI"",""3"":""greenchemistry"",""4"":""4"",""5"":""1"",""6"":""greenchem_logo3""}"
"1_lUP4Sd3x","[""chimie-verte_version-française_default.mp4""]",0,"[92.776,102.56493]","[]","{""1"":""_DEFAULT"",""3"":""anastas_warner""}"
"1_mB2XZ8pn","[""chimie-verte_version-française_default.mp4""]",0,"[93.18976]","[3,256.478,203.263,160.94595]","{""1"":""AOI"",""3"":""greenchemistry"",""4"":""4"",""5"":""2"",""6"":""Anastas_pic""}"
"1_irKSfmUN","[""chimie-verte_version-française_default.mp4""]",0,"[93.87726]","[3,666.494,202.391,152.21607]","{""1"":""AOI"",""3"":""greenchemistry"",""4"":""4"",""5"":""2"",""6"":""Warner_pic""}"
"1_cicOEjPx","[""chimie-verte_version-française_default.mp4""]",0,"[95.62726]","[2,176.22,356.99499,196.284,77.44801]","{""1"":""AOI"",""3"":""greenchemistry"",""4"":""5"",""5"":""1"",""6"":""Anastas""}"
"1_iuniXXl0","[""chimie-verte_version-française_default.mp4""]",0,"[98.06476]","[2,568.788,356.09349,227.69,79.22151]","{""1"":""AOI"",""3"":""greenchemistry"",""4"":""5"",""5"":""1"",""6"":""Warner""}"
"1_AclVEFMa","[""chimie-verte_version-française_default.mp4""]",0,"[104.108,107.75243]","[]","{""1"":""_DEFAULT"",""3"":""titre_reactions""}"
"1_JT37nX6t","[""chimie-verte_version-française_default.mp4""]",0,"[105.35642]","[2,136.92872,185.816,687.431,190.178]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""0"",""5"":""2"",""6"":""reaction_title""}"
"1_aYo3vUty","[""chimie-verte_version-française_default.mp4""]",0,"[109.06493,122.27326]","[]","{""1"":""_DEFAULT"",""3"":""reaction_chimique""}"
"1_Jjnjovx1","[""chimie-verte_version-française_default.mp4""]",0,"[110.73142]","[2,264.33,78.514,460.613,60.194]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""0"",""5"":""1"",""6"":""Wittig""}"
"1_kXwc63x2","[""chimie-verte_version-française_default.mp4""]",0,"[113.85642]","[2,63.683,174.475,840.097,191.05]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""3"",""5"":""1"",""6"":""reaction_chart""}"
"1_iEOl6Cg4","[""chimie-verte_version-française_default.mp4""]",0,"[117.21059]","[2,225.073,381.228,141.324,56.704]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""5"",""5"":""1"",""6"":""reactant""}"
"1_4gueOXFj","[""chimie-verte_version-française_default.mp4""]",0,"[120.85642]","[2,540.872,377.738,136.963,63.684]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""5"",""5"":""1"",""6"":""product""}"
"1_XMHXxXlx","[""chimie-verte_version-française_default.mp4""]",0,"[120.85642]","[2,706.624,379.483,209.37,63.683]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""5"",""5"":""1"",""6"":""subproduct""}"
"1_XTPsixg9","[""chimie-verte_version-française_default.mp4""]",0,"[122.6691,128.46076]","[]","{""1"":""_DEFAULT"",""3"":""lavoisier""}"
"1_jp6BCmIk","[""chimie-verte_version-française_default.mp4""]",0,"[123.39809]","[2,411.761,219.838,518.191,109.92]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""5"",""5"":""1"",""6"":""Lavoisier_quote""}"
"1_xI3Nnx6I","[""chimie-verte_version-française_default.mp4""]",0,"[123.39809]","[3,263.457,198.901,146.07321]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""4"",""5"":""2"",""6"":""Lavoisier_pic""}"
"1_Cf67tXG4","[""chimie-verte_version-française_default.mp4""]",0,"[125.43976]","[2,143.069,361.5025,269.564,130.5165]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""5"",""5"":""1"",""6"":""Lavoisier""}"
"1_o4TEkDZW","[""chimie-verte_version-française_default.mp4""]",0,"[128.633,134.96076]","[]","{""1"":""_DEFAULT"",""3"":""DDT""}"
"1_p4xOxpNQ","[""chimie-verte_version-française_default.mp4""]",0,"[130.18976]","[2,246.882,82.876,453.635,48.853]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""0"",""5"":""1"",""6"":""DDT_title""}"
"1_bLJ2dS9T","[""chimie-verte_version-française_default.mp4""]",0,"[130.18976]","[6,171.858,184.943,100.323,281.777,183.67347,349.89796,345.30612,357.2449,819.18367,361.83673,801.712,95.961,724.071,102.94,695.283,153.538,608.918,207.625,170.98546,184.94346]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""3"",""5"":""1"",""6"":""DDT_chart""}"
"1_mcD9yyFT","[""chimie-verte_version-française_default.mp4""]",0,"[135.39826,140.8566]","[]","{""1"":""_DEFAULT"",""3"":""oxyrane""}"
"1_vima9S5n","[""chimie-verte_version-française_default.mp4""]",0,"[136.37726]","[2,226.817,86.365,441.422,99.451]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""0"",""5"":""1"",""6"":""oxyrane_title""}"
"1_Y8vo3lrP","[""chimie-verte_version-française_default.mp4""]",0,"[137.29511]","[2,36.64,194.54,879.354,99.33755]","{""1"":""AOI"",""3"":""prerequisite"",""4"":""3"",""5"":""1"",""6"":""oxyrane_chart""}"
"1_vE2Glk9V","[""chimie-verte_version-française_default.mp4""]",0,"[140.996,150.39826]","[]","{""1"":""_DEFAULT"",""3"":""illustration12principes""}"
"1_0LpmC3kX","[""chimie-verte_version-française_default.mp4""]",0,"[146.23142]","[2,84.62,58.449,786.01,397.803]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""2"",""6"":""pic_12principles""}"
"1_7XeVJZBT","[""chimie-verte_version-française_default.mp4""]",0,"[151.68,161.7316]","[]","{""1"":""_DEFAULT"",""3"":""facteurE""}"
"1_KVax8nrb","[""chimie-verte_version-française_default.mp4""]",0,"[152.98142]","[2,267.819,40.129,340.226,116.898]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P1_title""}"
"1_iLsrb3nB","[""chimie-verte_version-française_default.mp4""]",0,"[151.6691,152.668]","[]","{""1"":""_DEFAULT""}"
"1_8xvCAIpP","[""chimie-verte_version-française_default.mp4""]",0,"[162.158,163.7316]","[]","{""1"":""_DEFAULT"",""3"":""transiE""}"
"1_T5DXbepq","[""chimie-verte_version-française_default.mp4""]",0,"[163.39809]","[2,290.501,198.901,385.589,191.051]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""2"",""6"":""Efactor_title""}"
"1_HkYiOLUr","[""chimie-verte_version-française_default.mp4""]",0,"[164.09,173.6691]","[]","{""1"":""_DEFAULT"",""3"":""Sheldon""}"
"1_XVkzK7w0","[""chimie-verte_version-française_default.mp4""]",0,"[165.25226]","[2,155.283,226.817,241.3781,83.748]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""5"",""5"":""2"",""6"":""Efactor_text""}"
"1_thMQNx7U","[""chimie-verte_version-française_default.mp4""]",0,"[167.29392]","[2,472.827,56.704,359.419,352.88784]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""2"",""6"":""Sheldon_pic""}"
"1_XKuBrP5d","[""chimie-verte_version-française_default.mp4""]",0,"[174.288,178.58576]","[]","{""1"":""_DEFAULT"",""3"":""echelleE""}"
"1_JPstC1Kw","[""chimie-verte_version-française_default.mp4""]",0,"[174.66892]","[2,283.522,43.619,314.927,109.047]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P1_title2""}"
"1_bhIyKrRK","[""chimie-verte_version-française_default.mp4""]",0,"[176.77309]","[2,206.753,180.582,556.575,242.52]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""2"",""5"":""0"",""6"":""Efactor_scale""}"
"1_cDDNpJfA","[""chimie-verte_version-française_default.mp4""]",0,"[179.62743,194.5441]","[]","{""1"":""_DEFAULT"",""3"":""facteurEA""}"
"1_kzBPZYR9","[""chimie-verte_version-française_default.mp4""]",0,"[180.68976]","[2,280.905,41.874,410.016,110.792]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P2_title""}"
"1_9J1YhYX6","[""chimie-verte_version-française_default.mp4""]",0,"[183.75226]","[2,207.625,179.709,551.341,243.393]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""2"",""5"":""0"",""6"":""EAfactor""}"
"1_1VUuX8sj","[""chimie-verte_version-française_default.mp4""]",0,"[195.258,199.02326]","[]","{""1"":""_DEFAULT"",""3"":""echelleEA""}"
"1_bH8G57Tg","[""chimie-verte_version-française_default.mp4""]",0,"[197.81476]","[2,208.498,180.582,551.34,242.52]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""2"",""5"":""0"",""6"":""EAfactor_scale""}"
"1_6XHwm97x","[""chimie-verte_version-française_default.mp4""]",0,"[199.613,205.87743]","[]","{""1"":""_DEFAULT"",""3"":""Sheldon2""}"
"1_1XXTOy6w","[""chimie-verte_version-française_default.mp4""]",0,"[200.98142]","[2,345.46,136.963,284.395,243.47106]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""2"",""6"":""Sheldon_pic2""}"
"1_LQaIQH7P","[""chimie-verte_version-française_default.mp4""]",0,"[206.79392]","[2,177.092,201.519,146.559,150.92]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""Hatom""}"
"1_E3XyRLBq","[""chimie-verte_version-française_default.mp4""]",0,"[209.06476]","[2,399.548,12.213,153.538,148.304]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""Catom""}"
"1_CjPSz6ua","[""chimie-verte_version-française_default.mp4""]",0,"[210.14809]","[2,632.472,205.008,154.41,146.559]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""Oatom""}"
"1_Fcyp5ZXv","[""chimie-verte_version-française_default.mp4""]",0,"[211.04392]","[2,409.144,375.994,154.41,144.814]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""Natom""}"
"1_nmOCy79n","[""chimie-verte_version-française_default.mp4""]",0,"[214.46059]","[2,148.304,202.391,192.795,151.793]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""HHmolecule""}"
"1_aS5Ngg3K","[""chimie-verte_version-française_default.mp4""]",0,"[216.35642]","[2,286.139,11.341,174.475,144.814]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""COmolecule""}"
"1_X0kXFbQL","[""chimie-verte_version-française_default.mp4""]",0,"[217.89809]","[2,457.997,21.809,200.646,135.218]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""CO2molecule""}"
"1_XyqVvBwH","[""chimie-verte_version-française_default.mp4""]",0,"[219.37726]","[2,594.087,203.263,161.39,146.559]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""OOmolecule""}"
"1_CcagF2T9","[""chimie-verte_version-française_default.mp4""]",0,"[221.14809]","[2,745.008,199.774,176.22,151.793]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""H2O2molecule""}"
