Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	largest_data_gap	length	length_invalid	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	proportion_valid	proportion_valid_fix	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration
8	8_allsc	2.842368231847014e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	571.5	2.6245	0.0005407148315995756	2.165472191159901e-06	0.010850497100601304	216507	160251265	932664	2265.521782693999	133237.0	616.95	3.6790000000000003	6.094631920259398e-05	0.017003698542401878	1.3848383187299997	577.4254538814694	425.7594202898551	263.44321257001525	2.854714993739566	5.757671898845895e-07	1.4731973095365107	245.46842035885905	55826.00657894737	0.0038899838755044945	557.35	1.509	0.0	0.0008503264791110545	345	304	9640	18	0.9941908713692946	0.9941908713692946	2.8572807304953787e-06	600.55	3.554	1.1220468426896562	13.86721650232829	465.5563033665361	281.17436306192076	0.2527976771654278	1.6994586887172297e-06	1.075866341039861	250.75708848921786	19119.931681319013	0.0029529484962079974	452.84213022470993	146887.0	86145.93051039499	455.2179686467818	74622.39978909315	16971106.0
8	seg1	2.0252271811954473e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	603.55	3.1879999999999997	0.00038318555016490373	2.128397244061632e-06	0.00791042853431091	33309	8976869	49964	515.7126572653881	99928.0	606.75	3.6790000000000003	6.094631920259398e-05	0.007741341037938517	1.0043894805527525	600.479608938548	381.36842105263156	190.03672242749056	3.0848640595903203	6.434207600807916e-07	1.4176191660704047	206.6934633624386	57250.375	0.0034207507943546578	592.6500000000001	1.71	0.0	0.0010142488743531393	19	16	540	1	0.9944444444444445	0.9944444444444445	2.6996507550149666e-06	600.55	3.554	1.3281394912713453	2.5388710243194494	381.32870197163027	129.18791473306132	0.26715098614112515	2.8517165501781614e-06	1.3010951451879258	149.63407419018665	18212.65036131022	0.0020842127848239604	18.079010649949545	7246.0	3420.66100369483	24.09952582319688	3307.0954137990175	916006.0
8	seg2	4.3507661116627265e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	597.3	3.0075000000000003	0.0010978998688997244	3.689806674256487e-06	0.003973915942592321	0	2981186	0	1037.4920498069332	99928.0	603.1500000000001	3.09	7.055362075177118e-06	0.013388718099573956	1.2970443021363356	598.3752777777776	228.63636363636363	327.3043718565694	2.951858333333332	7.036770841939213e-07	2.1881440630803106	346.90357920787704	57534.27272727273	0.005852145691766387	595.0	2.8415	0.0	0.0009303396320935374	11	11	180	1	1.0	1.0	6.6058597376087224e-06	597.8	2.9699999999999998	0.8150089802292567	2.154756316325271	100.83677179211236	295.2517723412354	0.040023675779531157	1.3223986007893954e-06	0.7716087673803902	298.1206158452212	21540.17710740053	0.00424848646036422	12.970443021363357	2515.0	3273.043718565694	19.693296567722797	3815.939371286647	632877.0
8	seg3	3.3734511719729944e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	593.2	2.7575000000000003	0.0006463925206467861	2.3916554888241713e-06	0.007962399594374616	16655	7977598	33310	789.654285291774	99928.0	603.5	3.3925	3.5727152636003296e-06	0.012624842034201654	1.4888704257828331	598.3669456066947	376.89473684210526	285.28490805911196	3.0603389121338878	4.103995499019558e-07	1.5840180192173279	237.80159489380475	52903.05882352941	0.003817769446903746	593.1500000000001	2.7575000000000003	0.0	0.0008503264791110545	19	17	480	1	0.9958333333333333	0.9958333333333333	3.38964377005146e-06	600.1	3.1215	1.0483213413851848	2.220583497734417	378.50464472958765	293.27485424053026	0.15566999711084745	4.354784496149456e-07	0.9132598563843077	254.0294543334348	25144.764709752675	0.0033698809278852877	26.799667664090997	7161.0	5135.128345064015	26.928306326694575	4042.6271131946805	899352.0
8	seg4	5.1256389426738246e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	599.6	2.678	0.0009750707143795496	3.3450264307263423e-06	0.004779247687446342	0	5979026	0	682.9496671436635	83274.0	605.0999999999999	2.838	3.752626838787151e-05	0.01215851095767037	1.6129646581504897	598.956805555556	266.65	306.8406922691527	2.6547125000000023	8.460368662539314e-07	1.763827793039412	283.39867753668887	58729.78947368421	0.0046950583349521765	595.25	1.509	0.0	0.001396444626094846	20	19	360	1	1.0	1.0	5.310045528269892e-06	599.0999999999999	2.7584999999999997	1.1853946843547682	1.761821059012576	204.30763053478165	206.28486261423862	0.09896931931884013	2.4224043039354034e-06	0.9315031009622659	202.00028884090852	12862.91447266109	0.0031630822172583678	30.646328504859305	5333.0	5829.973153113901	31.748900274709417	5384.574873197088	1115866.0
8	seg5	1.640564927087986e-08	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	598.05	3.4255	9.239722091353813e-05	5.024538590340576e-07	0.04600156111954573	0	3980465	0	358.5675908778975	66619.0	607.15	3.4345	1.8913239267487157e-06	0.00538236225217877	0.06530211272501281	596.5935416666663	2681.5	367.78390394360656	3.155056249999998	3.5100329058311154e-07	0	292.8446130864351	58291.5	0.004964033933060131	590.0	2.9619999999999997	0.0	0.004545705613941493	2	2	240	1	1.0	1.0	0.0	603.25	3.011	0	4.768942625357011	352.8462838120872	0	0.12131283241295783	2.732225312347051e-07	0	92.94632655223181	11776.86344066195	0.0005916055824223187	0.06530211272501281	5363.0	367.78390394360656	0	585.6892261728702	116583.0
8	seg6	2.3524355557269872e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	602.7	2.492	0.00038158096600693944	2.1126340855496716e-06	0.00898438240666418	0	8993512	0	644.5221895457057	83274.0	605.4000000000001	3.2325	2.1586405668307895e-05	0.00967475028964268	1.1753698555365182	600.0694085027721	448.89473684210526	190.6529442641668	2.8876275415896466	6.36115684419458e-07	1.3749742930621653	201.13654307106987	55842.0	0.0032808234043297823	595.95	2.3915	0.0	0.0011962428952605963	19	17	541	1	1.0	1.0	2.5990472889853056e-06	597.55	3.1254999999999997	1.2191080279851438	2.0011183034238473	402.6841738380702	169.8723027628628	0.20303683163237995	1.5118858151710598e-06	1.227918884830681	170.46487481244208	13089.046088237294	0.002348186536665871	21.156657399657327	8529.0	3431.752996755002	23.374562982056812	3419.3212322081877	949314.0
8	seg7	3.4942300910876174e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	572.55	2.7445000000000004	0.0004494999898350621	2.6760157737749786e-06	0.0074724477770439154	0	5979038	0	794.2377235904411	116583.0	616.95	3.404	4.24822865377687e-05	0.012243650703916004	1.3928089663570884	583.8415277777773	396.6875	179.17183468156333	2.8942083333333337	8.068335177990189e-07	1.4244157811806644	203.4837625780114	53086.6875	0.0035723520924917707	571.45	2.5	0.0	0.0008928107644692414	16	16	360	1	1.0	1.0	3.3352892114967827e-06	595.7	2.6605	0.8332303927462655	13.658380416363872	308.7531308883091	152.5237229446709	0.22316614078474728	2.636595800465731e-06	1.245333119085837	195.59523136859767	20369.577811755615	0.0028488307421227006	20.892134495356327	6347.0	2687.57752022345	19.9418209365293	3255.7402012481825	849387.0
8	seg8	4.802527240514586e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	567.8	2.7075	0.0006002105669140466	3.265945160761126e-06	0.005176018499416505	0	3980471	0	1628.9622430594725	99928.0	575.7	3.443	4.5514591089227814e-05	0.01630135940936947	1.593026700631528	573.0147916666665	258.61538461538464	199.0933962912435	2.774627083333333	1.1659550649197532e-06	1.6311529950299324	311.8258497435039	54127.833333333336	0.004341935726385163	567.8	1.799	0.0	0.0011769628279767958	13	12	240	1	1.0	1.0	4.507678348951482e-06	572.15	2.9085	1.15239624307827	1.5727078553427007	161.9025110272323	188.2275785605901	0.13985102465144825	4.152201918442334e-06	1.1998496973691142	459.009594734968	21452.078122827144	0.004560883462107444	19.116320407578336	3362.0	2389.120755494922	17.942682945329256	3741.910196922047	649534.0
8	seg9	3.1830436663597485e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	569.25	2.4955	0.0004836639925747486	1.9443979949367876e-06	0.009445390615301355	66620	12990688	133238	520.9096911403243	99929.0	575.35	2.6595	3.97178024617232e-05	0.006467608389103752	1.7052426995015477	570.5375808538159	465.64	259.11190005542505	2.5264786545924958	6.99383531067853e-07	0.8223032064629724	261.4215841672094	61622.65	0.0036398740247146344	563.35	1.783	0.0	0.0009497921645398989	25	20	781	1	0.9897567221510883	0.9897567221510883	1.4709739294065593e-06	569.95	2.511	1.0186122220583478	2.1146741735686705	369.599544552389	187.81137137309943	0.10410337875714623	2.390944908112612e-06	0.8878574436111442	185.35983770779893	22344.82723908907	0.0020013479283976145	40.92582478803715	11641.0	6218.685601330201	18.912973748648366	5228.431683344188	1232453.0
