Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	largest_data_gap	length	length_invalid	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	proportion_valid	proportion_valid_fix	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	Title_numfixations	Title_longestfixation	Title_meanfixationduration	Title_stddevfixationduration	Title_timetofirstfixation	Title_timetolastfixation	Title_proportionnum	Title_proportiontime	Title_fixationrate	Title_totaltimespent	Title_meanpupilsize	Title_stddevpupilsize	Title_maxpupilsize	Title_minpupilsize	Title_startpupilsize	Title_endpupilsize	Title_meanpupilvelocity	Title_stddevpupilvelocity	Title_maxpupilvelocity	Title_minpupilvelocity	Title_meandistance	Title_stddevdistance	Title_maxdistance	Title_mindistance	Title_startdistance	Title_enddistance	Title_proptransfrom_Title	Title_proptransfrom_Content	Content_numfixations	Content_longestfixation	Content_meanfixationduration	Content_stddevfixationduration	Content_timetofirstfixation	Content_timetolastfixation	Content_proportionnum	Content_proportiontime	Content_fixationrate	Content_totaltimespent	Content_meanpupilsize	Content_stddevpupilsize	Content_maxpupilsize	Content_minpupilsize	Content_startpupilsize	Content_endpupilsize	Content_meanpupilvelocity	Content_stddevpupilvelocity	Content_maxpupilvelocity	Content_minpupilvelocity	Content_meandistance	Content_stddevdistance	Content_maxdistance	Content_mindistance	Content_startdistance	Content_enddistance	Content_proptransfrom_Title	Content_proptransfrom_Content
1	1_allsc	4.780997510708353e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	704.95	3.585	0.0009128485346715351	3.3364990179310687e-06	0.008195044408520442	682852	424733714	15322534	1026.0801379145257	99930.0	741.25	4.8805	0.0001247072951065746	0.018590657555654765	1.4509961693374125	705.3766535225005	234.6939970717423	277.0425468800178	3.6418599943087138	1.4159397929416772e-06	1.3499949775553224	237.8123262756178	48937.92231812577	0.004626872632594988	687.35	1.077	0.0	0.0004315377995305704	1366	811	25519	17	0.9639484305811357	0.9639484305811357	4.392145104839808e-06	700.3	3.6785	1.1396501359048767	9.753378493042046	157.56735426087988	224.26283845130203	0.24203818248333483	4.014090627136576e-06	1.0547523744694938	176.0444432030679	16602.5390998815	0.002808142912341116	1957.3938324361693	320592.0	373730.3957411441	1798.1933101036893	192865.79660952603	39688655.0	98	550	270.0408163265306	nan	12141410	374519113	0.07174231332357248	6.230727424665894e-05	0.0037031438935912937	26464	3.5496094500800863	0.2558525248196476	4.1274999999999995	1.555	3.7695	1.971	1.0042073353374983e-06	5.082278073838405e-06	0.0001247072951065746	0.0	710.0705285638012	9.861120782439418	730.6	690.3	702.95	707.0	0.5842696629213483	0.4157303370786517	1000	2265	241.618	166.97769799475506	16655	381780669	0.7320644216691069	0.0005688693692914615	0.004138764496022647	241618	3.6452879769618445	0.23400575446449345	4.584	2.118	3.6785	3.585	1.254594954655197e-06	3.4700780345692178e-06	9.870909636745723e-05	0.0	704.061879049676	8.890568935201646	739.2	687.35	700.3	704.95	0.04342857142857143	0.9565714285714285
1	seg1	4.79623266339392e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	704.95	4.114	0.000798689104175248	3.3540942102950815e-06	0.008378171721816862	99930	24982335	832745	490.2491702045286	66620.0	712.4000000000001	4.2495	3.404178674351586e-05	0.014504671401822865	1.4478381545696395	703.0429703652649	227.39506172839506	241.10018004124407	3.8898818056512807	1.2699205198168048e-06	1.2350984945703212	206.2139795934915	44866.34693877551	0.0045974053145196375	695.8	2.375	0.0	0.0009980357401444136	81	49	1501	1	0.966688874083944	0.966688874083944	4.040349383615016e-06	700.3	3.6785	1.1101837882066892	2.9368078257400705	119.34411160718673	181.7769970103645	0.17672893910453158	2.774716545417237e-06	1.03695547706557	126.45788352700198	14101.08972525265	0.00291679900208532	115.82705236557116	18419.0	19288.014403299527	97.57278107105537	10104.485000081084	2198451.0	4	483	299.75	166.700079983984	12141410	17371052	0.04938271604938271	4.96488760264667e-05	0.003336113427856547	1199	3.8159236111111117	0.1466624624277383	4.027	3.537	3.7695	3.9635	1.5894264200664058e-06	4.6848668182397175e-06	2.6086695485110465e-05	0.0	703.2499999999998	0.592797141275344	704.75	701.7	702.95	704.75	0.5	0.5	65	716	231.1076923076923	119.69702939569487	16655	24449380	0.8024691358024691	0.0006220395460129965	0.004326987085607775	15022	3.9092630453379003	0.1661040116655913	4.2495	2.941	3.6785	3.9959999999999996	1.1884643344938193e-06	2.431559228373797e-06	3.164214950465324e-05	0.0	703.0531223267753	3.131448292809093	712.4000000000001	695.8	700.3	707.4000000000001	0.034482758620689655	0.9655172413793104
1	seg2	4.825069997871621e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	702.5999999999999	3.6029999999999998	0.0009715608027979017	3.321846250588538e-06	0.0061961495739142	166549	24982355	899362	998.0411587913804	99929.0	718.0999999999999	4.584	9.235018614146751e-05	0.014504671401822865	1.4709129997880033	703.9275742916373	216.7125	296.17837990957275	3.845733932273673	1.4398252022288563e-06	1.200771712871932	281.53927491686267	53808.230769230766	0.005060807524709756	697.4000000000001	2.237	0.0	0.0009980357401444136	80	52	1501	1	0.9640239840106596	0.9640239840106596	3.889059536910993e-06	705.5	3.985	1.073622843332722	3.3436718771798137	106.47245959354345	218.5126298836775	0.18496695541283142	3.912323008182898e-06	0.9773930862630222	203.5685271405375	17015.250917598558	0.0030902435576544377	116.20212698325226	17337.0	23398.092012856247	93.66019360401069	14640.042295676858	2798028.0	4	483	299.75	166.700079983984	5146367	10376009	0.05	4.9786170680695706e-05	0.003336113427856547	1199	3.8159236111111117	0.1466624624277383	4.027	3.537	3.7695	3.9635	1.5894264200664058e-06	4.6848668182397175e-06	2.6086695485110465e-05	0.0	703.2499999999998	0.592797141275344	704.75	701.7	702.95	704.75	0.5	0.5	54	550	219.2962962962963	101.51356998787963	482993	24582636	0.675	0.0004917162912433683	0.004560040533693633	11842	3.8552165668662717	0.16795811554198162	4.584	2.941	3.985	3.6479999999999997	1.3632507338721244e-06	3.947199183202401e-06	9.235018614146751e-05	0.0	703.6545908183633	3.426519786079038	718.0999999999999	697.4000000000001	705.5	700.9000000000001	0.046511627906976744	0.9534883720930233
1	seg4	4.862745672922105e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	709.0999999999999	3.4065000000000003	0.0009270345207489633	3.3855375058818617e-06	0.00975870809762363	133239	24982387	466339	619.2548031788602	66620.0	724.6	4.0805	2.5637946562593845e-05	0.018590657555654765	1.4538451991359833	709.9476238968091	225.19277108433735	277.1612537602266	3.5612348947725727	1.3032784714305403e-06	1.5638923353046064	223.7581111316373	44542.20930232558	0.0048685727826256854	701.2	2.527	0.0	0.0011745055384884098	83	43	1501	1	0.9813457694870087	0.9813457694870087	5.1670350441340755e-06	717.25	3.912	1.2225938367407319	4.570672154365186	178.8736751297478	215.57091674798394	0.15362429185461524	2.328876871241427e-06	1.133363656647745	159.76321108361992	13944.311524192259	0.0033887783776398897	119.21530632915064	18691.0	22727.22280833858	126.67527915967311	9621.598778660404	1915315.0	3	383	294.3333333333333	83.57830659527228	4863225	10092863	0.03614457831325301	3.601722430956245e-05	0.0033975084937712344	883	3.5363296703296703	0.29505498752850406	3.9655	2.527	3.912	2.6605	1.0381002838737887e-06	2.549366604332155e-06	1.536983669548507e-05	0.0	712.1675824175821	3.621320919425006	717.4	705.6500000000001	717.25	709.8	0.3333333333333333	0.6666666666666666	58	1482	235.81034482758622	192.49401511740402	366405	24549359	0.6987951807228916	0.0005578794755174243	0.004240696059077283	13677	3.550443564356434	0.1371631391536586	4.0545	3.061	3.955	3.379	1.0779613806728586e-06	2.050617729094436e-06	2.5637946562593845e-05	0.0	709.102178217821	4.209551318983588	724.6	701.2	715.05	708.7	0.04081632653061224	0.9591836734693877
1	seg5	4.993383537643986e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	699.8	4.0085	0.0009389902052322649	3.3931560538952356e-06	0.008065118782426672	299789	24982384	816092	796.3735059157531	83276.0	714.45	4.329	4.2569798859201444e-05	0.018590657555654765	1.4897724029468833	705.6962465564743	227.6951219512195	280.1470553676894	3.6495778236914576	1.2366215473156831e-06	1.2712438468556084	230.55807531107553	48229.8125	0.004560413649680031	697.95	2.596	0.0	0.0011745055384884098	82	48	1501	1	0.9673550966022652	0.9673550966022652	4.208320736522122e-06	707.05	3.77	1.1392300759258502	2.682538816665501	152.6160913335667	246.54996493798757	0.20814996715249404	2.3604019908421685e-06	0.9573307919853189	184.91142033382664	16202.03839113849	0.0034427043488874185	120.67156463869755	18671.0	22691.911484782842	101.69950774844867	11066.787614931625	2315031.0	2	250	216.5	47.37615433949868	14722953	15755550	0.024390243902439025	1.7917519162641914e-05	0.004618937644341801	433	3.726651515151515	0.07866349264911629	3.897	3.5789999999999997	3.589	3.803	4.2575590503380047e-07	3.0683336650007505e-07	1.5609990393852212e-06	0.0	704.4560606060604	0.4331493636289111	705.5	702.8	704.7	704.4000000000001	0.0	1.0	61	1266	251.7377049180328	163.43427849743804	0	24865798	0.7439024390243902	0.000635430541019698	0.003972388642875749	15356	3.6602545207956614	0.2128371440008106	4.329	2.754	3.77	4.0085	9.46348106852758e-07	2.072401535942512e-06	4.2569798859201444e-05	0.0	705.1679475587714	2.2986787944300366	713.6	697.95	707.05	699.8	0.03773584905660377	0.9622641509433962
1	seg6	4.657660533909418e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	698.3	3.447	0.0009564633786579359	3.504907015859996e-06	0.006621232250383892	299789	24982352	1015953	796.3735059157531	83274.0	710.5	4.329	4.2569798859201444e-05	0.010830058760808985	1.3449078405087487	703.573993055555	228.42857142857142	276.1805176120985	3.7939121527777755	1.0871433062616867e-06	1.2403861681312658	226.6975095658624	50841.228070175435	0.004232079336423096	695.8	2.596	0.0	0.0011838105955648077	84	57	1501	1	0.9593604263824117	0.9593604263824117	4.243927750128995e-06	706.65	3.45	1.203059572870091	2.5469801901275986	143.13093556602948	233.91020531641195	0.21726673630079216	2.2241311165763837e-06	1.026537072530924	163.9515835717761	16178.49944482927	0.0023519937623174537	111.62735076222614	19188.0	22922.982961804177	101.71166578676379	12921.758045254157	2897950.0	3	416	283.0	119.95415791042844	3714021	18670146	0.03571428571428571	3.542459591029925e-05	0.0035335689045936395	849	3.9113529411764705	0.1894861090254597	4.1274999999999995	3.5789999999999997	3.589	4.056	5.399358523032685e-07	7.991978756500604e-07	4.833383368357785e-06	0.0	706.4897058823527	2.09616848088683	709.65	702.8	704.7	706.65	0.0	1.0	69	1266	240.18840579710144	148.89339606916548	283134	24632600	0.8214285714285714	0.0006915098092124728	0.004163398298437217	16573	3.8021244881244862	0.21604729688196547	4.329	2.754	3.45	3.4619999999999997	1.0347883302325402e-06	2.1902679987755978e-06	4.2569798859201444e-05	0.0	703.4382473382461	2.3828225530033738	710.5	695.8	706.65	696.7	0.04838709677419355	0.9516129032258065
1	seg7	4.430140109683902e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	697.3	3.603	0.0009193054642142005	3.4592241075634206e-06	0.0072843934076499105	166549	24982413	699511	747.0342260487674	83274.0	710.5	4.3575	2.4076853797658375e-05	0.01121336274465277	1.296104314815945	701.1762851267994	233.97619047619048	268.9566806696137	3.7537210418094604	1.2515145441547375e-06	1.3522183517596085	235.459546381718	49056.30909090909	0.004583966713768417	693.85	2.616	0.0	0.0010046261497930178	84	55	1501	1	0.972018654230513	0.972018654230513	4.566254265832308e-06	704.2	4.149	1.1603023748462604	3.0147578784080418	111.42602237548066	188.96493498518154	0.2844965163371379	2.2870365332106234e-06	1.0821137363006361	165.21916700978338	16159.730717036655	0.002396972063151764	107.57665812972344	19654.0	22323.40449557794	110.8819048442879	12950.27505099449	2698097.0	1	416	416.0	0	6678640	6678640	0.011904761904761904	1.7131395580314083e-05	0.002403846153846154	416	4.044680555555555	0.2461028574971326	4.1274999999999995	2.616	4.0825	2.616	6.475912311573385e-07	1.0702597086069668e-06	4.833383368357785e-06	0.0	708.1597222222224	1.6933828967249622	709.65	699.5	709.3	699.5	0.0	1.0	62	816	239.09677419354838	110.78315988458601	316445	24865829	0.7380952380952381	0.0006104706925061923	0.004182406907717215	14824	3.737983629560337	0.29102006839612604	4.3575	2.7425	4.149	3.603	1.185610326035131e-06	2.167173911090316e-06	2.4076853797658375e-05	0.0	701.2734331150606	3.022657959935272	710.5	693.85	704.2	697.3	0.019230769230769232	0.9807692307692307
1	seg8	4.517524240518066e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	701.4000000000001	3.6959999999999997	0.0009001476525604128	3.354087543672497e-06	0.008406800493229572	166549	24982387	832749	747.0342260487674	83274.0	710.5	4.3575	4.4010807565295716e-05	0.01121336274465277	1.3637071883092027	700.2201929703649	235.08641975308643	271.72799944854677	3.715622329427983	1.43776320341825e-06	1.3116410979603301	232.66904630428692	47188.979166666664	0.004590524292293928	693.85	2.616	0.0	0.0010046261497930178	81	48	1501	1	0.966688874083944	0.966688874083944	4.290732918599694e-06	704.0999999999999	3.975	1.158702482769603	2.8834567791488595	119.74996842701717	195.03516545157862	0.26910344061220914	2.9257122636825526e-06	1.078806871341769	176.9568476894271	16236.23905000535	0.0025567332334062894	109.09657506473621	19042.0	21738.239955883742	103.61964673886608	11168.114222605773	2265071.0	1	416	416.0	0	1665492	1665492	0.012345679012345678	1.722593108849085e-05	0.002403846153846154	416	4.044680555555555	0.2461028574971326	4.1274999999999995	2.616	4.0825	2.616	6.475912311573385e-07	1.0702597086069668e-06	4.833383368357785e-06	0.0	708.1597222222224	1.6933828967249622	709.65	699.5	709.3	699.5	0.0	1.0	59	816	233.23728813559322	121.277160339881	166549	24849149	0.7283950617283951	0.0005698222060305831	0.004287479107622992	13761	3.6783466407010663	0.26732012789115034	4.3575	2.7425	3.975	3.6959999999999997	1.4182947684140466e-06	3.0131453738599626e-06	4.4010807565295716e-05	0.0	700.1554040895805	2.8648696440315016	710.5	693.85	704.0999999999999	701.4000000000001	0.02040816326530612	0.9795918367346939
1	seg9	5.148369332532043e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	696.5	3.3034999999999997	0.0008781671507088051	3.30508922723963e-06	0.008059327140293017	166549	24982326	1382358	818.0583867885734	83274.0	703.7	4.167	6.952867006904833e-05	0.011582032368360005	1.5779396298693193	698.0045486600834	242.64102564102564	269.1521643555712	3.658104724964738	1.5830328186194227e-06	1.3490652562500487	267.02975806919363	48923.645833333336	0.005115707542417078	690.3	2.1235	0.0	0.0008791699314738329	78	48	1501	1	0.9447035309793471	0.9447035309793471	4.344453326165684e-06	698.35	4.0024999999999995	1.034108026433657	1.8916464137497835	145.80506238507706	195.50806473299767	0.2326049359846427	4.060146651924202e-06	1.0242276247346087	192.7164824299334	16621.39897009157	0.0028703993623067276	121.50135149993758	18926.0	20724.71665537898	102.5289594750037	12817.428387321295	2348335.0	0	-1	-1	0	-1	-1	0	0.0	0	0	2.616	nan	2.616	2.616	2.616	2.616	-1	-1	-1	-1	699.5	nan	699.5	699.5	699.5	699.5	0	0	63	1016	239.33333333333334	150.7873957254963	3064520	24915707	0.8076923076923077	0.000638899171388707	0.004178272980501393	15078	3.605333333333335	0.19249251572428847	4.053	2.3245	4.0024999999999995	3.3034999999999997	1.564390662121198e-06	4.291109693588151e-06	6.952867006904833e-05	0.0	697.7107078853037	1.9380008054093711	703.7	690.3	698.35	696.5	0.0	1.0
1	seg10	5.015403642546152e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	697.25	3.5599999999999996	0.000782865764021727	3.2558248291823048e-06	0.007637873559857302	166549	24998968	1349047	818.0583867885734	83275.0	703.7	4.053	6.952867006904833e-05	0.011582032368360005	1.5607092095964308	697.4016537649538	254.41558441558442	243.61465095682217	3.566865939479244	1.4091871582177893e-06	1.4192536005213103	259.7256733902014	50291.17647058824	0.0048858992469158966	690.3	2.1235	0.0	0.0008791699314738329	77	51	1502	1	0.9460719041278296	0.9460719041278296	4.500819264432142e-06	697.9	3.9895	1.0770759153576297	2.0080925385592088	160.27241206683001	162.7842146228399	0.21124476110092077	3.965715485067222e-06	1.0577912350340855	179.3232057007155	16484.095308758548	0.002743939858331542	118.61389992932874	19590.0	18514.713472718486	106.44402003909828	13246.00934290027	2564850.0	0	-1	-1	0	-1	-1	0	0.0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	71	1016	251.98591549295776	160.1629075087297	566268	24849074	0.922077922077922	0.0007564930132324755	0.003968475769940193	17891	3.5575430232558145	0.19267177632424262	4.053	2.3245	3.9065	3.5599999999999996	1.3889359361965325e-06	4.048009767313014e-06	6.952867006904833e-05	0.0	697.3336434108523	2.02153358662895	703.7	690.3	700.25	697.25	0.0	1.0
