Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,result,result -20
136,8/2/2024 11:04,46.058815,46058815.0,1.8444,110664000,P24_10,215324722.0,326428648.0,play,pause,01:03:35.324722,01:05:26.428648,220265907.0,200265907.0
136,8/2/2024 11:04,46.058815,46058815.0,1.8444,110664000,P24_10,215324722.0,326428648.0,play,pause,01:03:35.324722,01:05:26.428648,244265907.0,224265907.0
136,8/2/2024 11:04,46.058815,46058815.0,1.8444,110664000,P24_10,215324722.0,326428648.0,play,pause,01:03:35.324722,01:05:26.428648,272265907.0,252265907.0
136,8/2/2024 11:04,46.058815,46058815.0,1.8444,110664000,P24_10,215324722.0,326428648.0,play,pause,01:03:35.324722,01:05:26.428648,303265907.0,283265907.0
137,8/2/2024 11:06,156.81288,156812880.0,0.4347,26082000,P24_10,340708711.0,366812973.0,play,pause,01:05:40.708711,01:06:06.812973,345895831.0,325895831.0
137,8/2/2024 11:06,156.81288,156812880.0,0.4347,26082000,P24_10,340708711.0,366812973.0,play,pause,01:05:40.708711,01:06:06.812973,362895831.0,342895831.0
138,8/2/2024 11:07,182.949953,182949953.0,0.8289,49734000,P24_10,384948733.0,435092781.0,play,pause,01:06:24.948733,01:07:15.092781,390998780.0,370998780.0
138,8/2/2024 11:07,182.949953,182949953.0,0.8289,49734000,P24_10,384948733.0,435092781.0,play,pause,01:06:24.948733,01:07:15.092781,390998780.0,370998780.0
138,8/2/2024 11:07,182.949953,182949953.0,0.8289,49734000,P24_10,384948733.0,435092781.0,play,pause,01:06:24.948733,01:07:15.092781,400998780.0,380998780.0
138,8/2/2024 11:07,182.949953,182949953.0,0.8289,49734000,P24_10,384948733.0,435092781.0,play,pause,01:06:24.948733,01:07:15.092781,414998780.0,394998780.0
141,8/2/2024 11:08,222.3455725,222345572.5,0.3494,20964000,P24_10,467268605.0,488396907.0,fb,pause,01:07:47.268605,01:08:08.396907,469923032.5,449923032.5
141,8/2/2024 11:08,222.3455725,222345572.5,0.3494,20964000,P24_10,467268605.0,488396907.0,fb,pause,01:07:47.268605,01:08:08.396907,469923032.5,449923032.5
146,8/2/2024 11:11,300.443931,300443931.0,0.4362,26172000,P24_10,656893057.0,683540950.0,play,pause,01:10:56.893057,01:11:23.540950,669449126.0,649449126.0
147,8/2/2024 11:12,326.710426,326710426.0,0.5695,34170000,P24_10,701900953.0,736548781.0,play,pause,01:11:41.900953,01:12:16.548781,713190527.0,693190527.0
147,8/2/2024 11:12,326.710426,326710426.0,0.5695,34170000,P24_10,701900953.0,736548781.0,play,pause,01:11:41.900953,01:12:16.548781,716190527.0,696190527.0
140,8/2/2024 11:08,233.7105493,233710549.3,0.0363,2178000,P24_10,464788590.0,467268605.0,fb,fb,01:07:44.788590,01:07:47.268605,467078040.7,447078040.7
150,8/2/2024 11:14,393.694454,393694454.0,0.2047,12282000,P24_10,813453128.0,825940782.0,fb,pause,01:13:33.453128,01:13:45.940782,821758674.0,801758674.0
144,8/2/2024 11:10,283.035989,283035989.0,0.6762,40572000,P24_10,586292671.0,626988697.0,play,fb,01:09:46.292671,01:10:26.988697,592256682.0,572256682.0
147,8/2/2024 11:12,326.710426,326710426.0,0.5695,34170000,P24_10,701900953.0,736548781.0,play,pause,01:11:41.900953,01:12:16.548781,726190527.0,706190527.0
