Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,result,result -20
153,8/2/2024 14:08,0.0,0.0,2.6692,160152000,P24_11,152837755.0,313181893.0,play,pause,01:02:32.837755,01:05:13.181893,203837755.0,183837755.0
153,8/2/2024 14:08,0.0,0.0,2.6692,160152000,P24_11,152837755.0,313181893.0,play,pause,01:02:32.837755,01:05:13.181893,227837755.0,207837755.0
153,8/2/2024 14:08,0.0,0.0,2.6692,160152000,P24_11,152837755.0,313181893.0,play,pause,01:02:32.837755,01:05:13.181893,255837755.0,235837755.0
153,8/2/2024 14:08,0.0,0.0,2.6692,160152000,P24_11,152837755.0,313181893.0,play,pause,01:02:32.837755,01:05:13.181893,286837755.0,266837755.0
154,8/2/2024 14:11,159.904637,159904637.0,1.3006,78036000,P24_11,317853741.0,395957796.0,play,pause,01:05:17.853741,01:06:35.957796,319949104.0,299949104.0
154,8/2/2024 14:11,159.904637,159904637.0,1.3006,78036000,P24_11,317853741.0,395957796.0,play,pause,01:05:17.853741,01:06:35.957796,336949104.0,316949104.0
154,8/2/2024 14:11,159.904637,159904637.0,1.3006,78036000,P24_11,317853741.0,395957796.0,play,pause,01:05:17.853741,01:06:35.957796,346949104.0,326949104.0
154,8/2/2024 14:11,159.904637,159904637.0,1.3006,78036000,P24_11,317853741.0,395957796.0,play,pause,01:05:17.853741,01:06:35.957796,346949104.0,326949104.0
154,8/2/2024 14:11,159.904637,159904637.0,1.3006,78036000,P24_11,317853741.0,395957796.0,play,pause,01:05:17.853741,01:06:35.957796,356949104.0,336949104.0
154,8/2/2024 14:11,159.904637,159904637.0,1.3006,78036000,P24_11,317853741.0,395957796.0,play,pause,01:05:17.853741,01:06:35.957796,370949104.0,350949104.0
154,8/2/2024 14:11,159.904637,159904637.0,1.3006,78036000,P24_11,317853741.0,395957796.0,play,pause,01:05:17.853741,01:06:35.957796,382949104.0,362949104.0
154,8/2/2024 14:11,159.904637,159904637.0,1.3006,78036000,P24_11,317853741.0,395957796.0,play,pause,01:05:17.853741,01:06:35.957796,382949104.0,362949104.0
157,8/2/2024 14:14,296.307345,296307345.0,1.1219,67314000,P24_11,487733706.0,555013694.0,play,pause,01:08:07.733706,01:09:15.013694,504426361.0,484426361.0
157,8/2/2024 14:14,296.307345,296307345.0,1.1219,67314000,P24_11,487733706.0,555013694.0,play,pause,01:08:07.733706,01:09:15.013694,529426361.0,509426361.0
157,8/2/2024 14:14,296.307345,296307345.0,1.1219,67314000,P24_11,487733706.0,555013694.0,play,pause,01:08:07.733706,01:09:15.013694,532426361.0,512426361.0
154,8/2/2024 14:11,159.904637,159904637.0,1.3006,78036000,P24_11,317853741.0,395957796.0,play,pause,01:05:17.853741,01:06:35.957796,393949104.0,373949104.0
159,8/2/2024 14:16,390.100279,390100279.0,0.2135,12810000,P24_11,599981736.0,612805859.0,play,pause,01:09:59.981736,01:10:12.805859,611881457.0,591881457.0
156,8/2/2024 14:13,284.703583,284703583.0,0.1932,11592000,P24_11,462997830.0,474605821.0,play,pause,01:07:42.997830,01:07:54.605821,467294247.0,447294247.0
157,8/2/2024 14:14,296.307345,296307345.0,1.1219,67314000,P24_11,487733706.0,555013694.0,play,pause,01:08:07.733706,01:09:15.013694,542426361.0,522426361.0
