Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,seg,start_end,pos
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,1,start,228162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,1,end,231162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,2,start,252162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,2,end,255162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,3,start,278162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,3,end,283162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,4,start,309162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,4,end,314162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,5,start,337162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,5,end,342162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,6,start,356162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,6,end,359162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,7,start,361162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,7,end,369162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,8,start,376162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,8,end,379162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,9,start,385162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,9,end,393162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,10,start,397162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,10,end,405162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,11,start,509162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,11,end,515162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,12,start,482162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,12,end,493162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,13,start,515162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,13,end,521162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,14,start,410162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,14,end,416162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,15,start,577162561.0
221.0,12/02/2024 17:08,0.0,0.0,7.34,440400000,P24_21,180162561.0,619000000.0,play,,01:03:00.162561,01:10:19,15,end,582162561.0
