Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,seg,start_end,pos
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,1,start,210182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,1,end,213182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,2,start,234182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,2,end,237182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,3,start,260182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,3,end,265182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,4,start,291182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,4,end,296182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,5,start,319182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,5,end,324182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,6,start,338182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,6,end,341182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,7,start,343182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,7,end,351182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,8,start,358182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,8,end,361182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,9,start,367182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,9,end,375182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,10,start,379182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,10,end,387182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,11,start,491182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,11,end,497182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,12,start,464182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,12,end,475182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,13,start,497182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,13,end,503182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,14,start,392182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,14,end,398182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,15,start,559182358.0
168.0,08/02/2024 16:55,0.0,0.0,7.3415,440490000,P24_14,162182358.0,602000000.0,play,,01:02:42.182358,01:10:02,15,end,564182358.0
