Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	largest_data_gap	length	length_invalid	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	proportion_valid	proportion_valid_fix	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	Title_numfixations	Title_longestfixation	Title_meanfixationduration	Title_stddevfixationduration	Title_timetofirstfixation	Title_timetolastfixation	Title_proportionnum	Title_proportiontime	Title_fixationrate	Title_totaltimespent	Title_numevents	Title_numleftclic	Title_numrightclic	Title_numdoubleclic	Title_leftclicrate	Title_rightclicrate	Title_doubleclicrate	Title_timetofirstleftclic	Title_timetofirstrightclic	Title_timetofirstdoubleclic	Title_timetolastleftclic	Title_timetolastrightclic	Title_timetolastdoubleclic	Title_meanpupilsize	Title_stddevpupilsize	Title_maxpupilsize	Title_minpupilsize	Title_startpupilsize	Title_endpupilsize	Title_meanpupilvelocity	Title_stddevpupilvelocity	Title_maxpupilvelocity	Title_minpupilvelocity	Title_meandistance	Title_stddevdistance	Title_maxdistance	Title_mindistance	Title_startdistance	Title_enddistance	Title_proptransfrom_Title	Title_proptransfrom_Content	Content_numfixations	Content_longestfixation	Content_meanfixationduration	Content_stddevfixationduration	Content_timetofirstfixation	Content_timetolastfixation	Content_proportionnum	Content_proportiontime	Content_fixationrate	Content_totaltimespent	Content_numevents	Content_numleftclic	Content_numrightclic	Content_numdoubleclic	Content_leftclicrate	Content_rightclicrate	Content_doubleclicrate	Content_timetofirstleftclic	Content_timetofirstrightclic	Content_timetofirstdoubleclic	Content_timetolastleftclic	Content_timetolastrightclic	Content_timetolastdoubleclic	Content_meanpupilsize	Content_stddevpupilsize	Content_maxpupilsize	Content_minpupilsize	Content_startpupilsize	Content_endpupilsize	Content_meanpupilvelocity	Content_stddevpupilvelocity	Content_maxpupilvelocity	Content_minpupilvelocity	Content_meandistance	Content_stddevdistance	Content_maxdistance	Content_mindistance	Content_startdistance	Content_enddistance	Content_proptransfrom_Title	Content_proptransfrom_Content
1	1_allsc	3.7306591714998205e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	539.5	3.1155	0.0008822642834629434	2.676466966604608e-06	0.007881029295099757	4229048	284669576	117658361	1082.7555949836578	99927.0	573.3	4.0545	0.00011102437852768106	0.018398910013426834	1.4557521518296224	555.5001793364551	310.41834451901565	344.2710979725481	3.2949115771644917	8.335400089543106e-07	1.2953800150803085	301.9715463816398	61429.63239875389	0.004740674314044959	534.0999999999999	0.982	0.0	0.0006679412990878317	447	321	17102	19	0.5868904221728453	0.5868904221728453	3.172304483671029e-06	564.95	3.4909999999999997	1.0880851384622146	6.228908450600916	287.07152422605157	233.5410838046822	0.24521596145756971	3.625991844550808e-06	1.0205583854152653	202.39860091115494	15713.113481721153	0.002803683171163602	623.0619209830784	138757.0	147348.0299322506	529.8104261678462	96932.86638850639	19718912.0	23	783	288.8695652173913	nan	-1	365893391	0.05145413870246085	2.3339339922999008e-05	0.003461770018061409	6644	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.1365121951219512	0.243099685464977	4.0355	-1	-1	3.1155	6.164676243875397e-07	2.278585080224592e-06	3.203242269588712e-05	-1	549.8291574279378	6.140472128033955	572.0	-1	-1	539.5	0.3157894736842105	0.6842105263157895	334	2032	316.5	269.5620377430624	682834	364211291	0.7472035794183445	0.00037134632188442926	0.00315955766192733	105711	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.299675066666667	0.21869024000734935	4.0545	1.15	3.4909999999999997	3.1465	8.066997025274465e-07	3.4892983749861285e-06	0.00011102437852768106	0.0	555.1138333333331	6.038187056775543	572.8499999999999	534.0999999999999	564.95	542.4	0.05454545454545454	0.9454545454545454
1	seg1	2.8346016765433776e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	564.4000000000001	3.3765	0.0005863137505866843	2.168246957324063e-06	0.011408328079498034	1948575	14989057	8993430	367.2719489951644	66619.0	572.8499999999999	3.786	4.268988291804262e-05	0.005513103800701979	1.416267862177395	563.3265277777778	321.53846153846155	292.9432127907325	3.4497541666666685	1.0629083694426067e-06	1.0548026186899855	202.91494076579443	61066.5	0.0031089880043822754	547.35	1.068	0.0	0.0007563742722751847	13	6	901	1	0.3995560488346282	0.3995560488346282	1.9352152503132435e-06	564.95	3.4909999999999997	0.9235660747067156	3.6523561135635045	282.3504369232837	304.53262087666604	0.2838655621314536	3.4071886957965823e-06	0.8573222352959583	122.1632108207554	13597.852429703744	0.0017271584191819456	16.99521434612874	4180.0	3515.3185534887903	11.60282880558984	1217.4896445947666	366399.0	0	-1	-1	0	-1	-1	0	0.0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	9	916	399.6666666666667	308.38774294708924	682834	11574882	0.6923076923076923	0.0005999372542688196	0.0025020850708924102	3597	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.4904107744107744	0.17967911418055543	3.786	2.328	3.4909999999999997	3.708	7.617843278337442e-07	2.38777890492172e-06	2.9900930651456034e-05	0.0	563.6558922558924	3.0432730360806883	572.8499999999999	548.2	564.95	548.2	0.0	1.0
1	seg2	3.358967085037724e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	556.9	1.747	0.0007901769029657876	2.5779103587527468e-06	0.006104978493382699	3529654	14987949	5678083	650.5435312924404	83273.0	573.3	3.6654999999999998	4.593491053200433e-05	0.011704635819372764	1.359631889570079	559.4926785714287	326.2083333333333	319.845264474195	3.3979428571428585	8.028016439675012e-07	1.3439324533629973	336.95387277237694	67494.52631578948	0.005272135473139722	542.75	0.982	0.0	0.0013057126178094472	24	19	899	1	0.6229143492769744	0.6229143492769744	3.175825943572758e-06	546.3	3.431	1.2142895541314562	5.577435850436074	384.19424199187335	152.17531102002988	0.2171734843627276	2.894861113733102e-06	1.1313322772718597	161.78368651321966	12988.274760843253	0.002983101690521764	31.27153346011182	7829.0	7356.4410829064855	29.566513973985938	6402.123582675162	1282396.0	0	-1	-1	0	-1	-1	0	0.0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0.982	0.0	0.982	0.982	0.982	0.982	0.0	nan	0.0	0.0	559.25	0.2121320343559321	559.4	559.1	559.4	559.1	0	0	15	2032	339.8666666666667	474.88146892020274	3596272	14355079	0.625	0.0005475911253717293	0.0029423303256178894	5098	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.4316353591160245	0.13423163783804876	3.6585	1.747	3.431	1.747	6.914242065928215e-07	2.7734960408572247e-06	4.593491053200433e-05	0.0	557.0806629834257	4.986026079848634	571.1500000000001	542.75	546.3	556.9	0.0	1.0
1	seg3	4.245135904324171e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	553.5	3.6975	0.0012725577415806058	3.6233328139889635e-06	0.006196061586496604	3663988	14989048	11125202	1082.7555949836578	83273.0	567.6	3.9475000000000002	4.341038727108978e-05	0.01300248093600156	1.2617347217984103	555.3002155172416	191.64285714285714	378.228241505789	3.499872844827587	1.656061190489227e-06	1.5012834477540629	288.8341239054778	54127.125	0.004070399668159691	547.3499999999999	1.433	0.0	0.0006679412990878317	14	8	901	1	0.25749167591564925	0.25749167591564925	4.662556782296384e-06	556.05	3.3015	1.2349176373889665	4.799987594331077	119.08148932097339	402.6553701426632	0.32475824840757334	4.571811514241296e-06	1.0818124814114352	388.6693836521565	19401.905351481775	0.004350467228561207	16.402551383379333	2683.0	4916.9671395752575	18.015401373048753	2310.6729912438223	433017.0	1	350	350.0	0	1448941	1448941	0.07142857142857142	9.058332034972408e-05	0.002857142857142857	350	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.4235185185185193	0.28180590297502095	3.588	2.612	2.99	2.612	3.2856043304847648e-06	7.505593045131246e-06	3.203242269588712e-05	0.0	554.012962962963	1.9326940440241152	558.5	550.0999999999999	555.95	558.5	0	0	6	217	139.0	55.5517776493246	6095543	9859459	0.42857142857142855	0.0002158471119190568	0.007194244604316547	834	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.474945054945055	0.4086053886259499	3.8385	1.433	3.3015	2.371	2.139033652187909e-06	5.695420262581507e-06	4.341038727108978e-05	0.0	553.6901098901099	3.8513794049824974	566.7	547.3499999999999	556.05	553.9	0.0	1.0
1	seg4	1.2462046461937047e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	560.9	3.46	0.00032878106291190187	9.204841860108778e-07	0.02351981839593405	433017	14972381	849379	615.8775322030434	66619.0	568.45	3.939	2.197670229374325e-05	0.0092450505457022	1.4666792258835821	558.7037735849057	934.0769230769231	386.947967422243	3.4336674528301856	4.7350571817923e-07	1.5476246713277797	299.6468165334031	57365.333333333336	0.005230208643397339	549.0	2.7295	0.0	0.0017626658455455054	13	9	900	1	0.9422222222222222	0.9422222222222222	1.2054003380163493e-06	556.35	3.253	1.3330431589820153	4.096361867369571	889.7102956897882	221.18549313221186	0.2006105342405674	1.1253882808804246e-06	1.1915190398842508	162.82888388132682	12098.812297081065	0.0023132121117135254	17.600150710602986	12143.0	4643.375609066916	17.023871384605577	2696.821348800628	516288.0	0	-1	-1	0	-1	-1	0	0.0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.3944166666666664	0.06567451306760222	3.4494999999999996	3.3125	3.447	3.3125	3.0021946069585644e-07	3.0141717818092866e-07	6.90483338336853e-07	3.002101471028057e-08	552.8166666666667	0.6990469702864188	553.6	551.95	553.6	552.1	0	0	8	2032	783.0	598.3551262777459	1199121	8926802	0.6153846153846154	0.00044353176470554915	0.001277139208173691	6264	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.376191048034936	0.13764127839082713	3.6995	3.0999999999999996	3.253	3.424	4.3452794171086405e-07	6.021274162197728e-07	9.576703692584835e-06	0.0	557.6843886462883	3.359418283114078	567.5	549.0	556.35	550.2	0.0	1.0
1	seg5	4.2051027698496265e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	552.85	3.5365	0.0017188193108212998	3.848968033935581e-06	0.008466238966869431	2364938	14989042	12390943	530.3355223089573	66618.0	565.2	4.0545	2.7289102371660183e-05	0.007960844250937543	1.2139192556937273	556.9564102564103	183.3	496.1847480695009	3.4367211538461535	2.0826118813200933e-06	1.1614008623155683	227.44099198722088	54126.75	0.003914376479883331	549.55	1.621	0.0	0.002306799681265884	10	4	901	1	0.17314095449500555	0.17314095449500555	3.576155834910273e-06	564.8	2.119	1.022630204274026	3.446937481061376	130.8052411454186	505.54750791207215	0.46979884247232634	4.667458259727336e-06	0.8317958854511891	204.35593309272298	15945.94847968181	0.0027067538161144114	10.925273301243545	1833.0	4465.662732625508	9.291206898524546	909.7639679488835	216507.0	1	83	83.0	0	7627759	7627759	0.1	3.1946434681665325e-05	0.012048192771084338	83	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.869708333333333	0.2102364965216482	4.0355	3.445	3.445	3.9859999999999998	3.4797758760837786e-06	6.638480407883783e-06	2.257580306214352e-05	0.0	557.3583333333332	3.3763100712123095	563.35	551.6	557.5	552.5	0	0	8	516	210.375	133.38444704794375	3663990	12857269	0.8	0.0006477813201113584	0.004753416518122401	1683	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.4941068702290066	0.34323500587808525	4.0545	2.067	2.119	3.5365	1.7553306066652571e-06	4.0327948183347815e-06	2.7289102371660183e-05	0.0	556.7412213740461	3.57644258638294	565.2	549.55	564.8	552.85	0.14285714285714285	0.8571428571428571
1	seg6	4.500901508683747e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	554.95	3.1945	0.0009435900201277339	3.1647069147819696e-06	0.006773862380752545	716142	14972377	3280931	612.8676925472478	83273.0	563.4	3.9395	9.492644851395977e-05	0.018398910013426834	1.4617235261137378	552.7854196301563	280.5135135135135	306.4425490683976	3.39807041251778	1.0239409782969042e-06	1.1987151903618052	281.1497404426063	56748.62962962963	0.004974014241933183	546.6	1.532	0.0	0.0009077427150059565	37	27	900	1	0.7811111111111111	0.7811111111111111	3.588523751695315e-06	558.8	3.633	1.1535247844283112	3.7048215007135874	129.60037328941903	203.49810166448083	0.2717936564517954	5.3628745728970016e-06	1.1854838045376852	164.85810844992724	14794.90186399498	0.0033265184256212627	52.62204694009456	10379.0	11031.931766462314	41.95503166266318	7591.0429919503695	1532213.0	0	-1	-1	0	-1	-1	0	0.0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	2.3994999999999997	0.08414570696119932	2.459	2.34	2.459	2.34	-1	-1	-1	-1	551.95	5.303300858899107	555.7	548.2	548.2	555.7	0	0	25	650	275.2	121.24046354249889	283127	14939067	0.6756756756756757	0.0005884644209108095	0.003633720930232558	6880	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.3297987152034225	0.19645831159757687	3.8165	2.7125	3.633	3.1945	1.0158595746033475e-06	4.99395521273292e-06	9.492644851395977e-05	0.0	551.3913276231262	2.3854271339357354	558.8	546.6	558.8	554.95	0.0	1.0
1	seg7	4.2406194313266815e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	556.3	2.9995000000000003	0.0007667847397800039	2.8706221367786858e-06	0.006096331036967334	2914534	14989046	6628489	433.33840256821156	83273.0	562.4	3.4995	4.91473519875105e-05	0.007931126288496779	1.541475672648448	553.7043824701193	270.75	278.72815320264743	3.2255478087649405	8.317224996438932e-07	1.037513261988729	263.2048083664769	62699.23529411765	0.0040725421046335485	547.05	2.2245	0.0	0.0018037088193863294	24	17	901	1	0.5571587125416204	0.5571587125416204	2.730116158977451e-06	550.8499999999999	3.3025	0.9376488968957155	3.511968517995096	130.77104120328517	129.97642829681823	0.1410119815734986	3.052569949675921e-06	0.9119738096130174	139.48237062784548	13845.962753314645	0.0019651778188332957	35.453940470914304	6498.0	6410.747523660891	22.82529176375204	4474.481742230108	1065887.0	0	-1	-1	0	-1	-1	0	0.0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	23	650	267.30434782608694	132.59145549825692	49964	14639301	0.9583333333333334	0.00073535770403814	0.003741054001301236	6148	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.229416129032258	0.14279310999080244	3.4995	2.2245	3.3025	2.9995000000000003	8.446690424730198e-07	3.1479638640166785e-06	4.91473519875105e-05	0.0	553.5472043010751	3.5358970005158987	562.15	547.05	550.8499999999999	556.3	0.0	1.0
1	seg8	4.2406194313266815e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	556.3	2.9995000000000003	0.0007667847397800039	2.8706221367786858e-06	0.006096331036967334	2914534	14989046	6628489	433.33840256821156	83273.0	562.4	3.4995	4.91473519875105e-05	0.007931126288496779	1.541475672648448	553.7043824701193	270.75	278.72815320264743	3.2255478087649405	8.317224996438932e-07	1.037513261988729	263.2048083664769	62699.23529411765	0.0040725421046335485	547.05	2.2245	0.0	0.0018037088193863294	24	17	901	1	0.5571587125416204	0.5571587125416204	2.730116158977451e-06	550.8499999999999	3.3025	0.9376488968957155	3.511968517995096	130.77104120328517	129.97642829681823	0.1410119815734986	3.052569949675921e-06	0.9119738096130174	139.48237062784548	13845.962753314645	0.0019651778188332957	35.453940470914304	6498.0	6410.747523660891	22.82529176375204	4474.481742230108	1065887.0	0	-1	-1	0	-1	-1	0	0.0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	23	650	267.30434782608694	132.59145549825692	49964	14639301	0.9583333333333334	0.00073535770403814	0.003741054001301236	6148	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.229416129032258	0.14279310999080244	3.4995	2.2245	3.3025	2.9995000000000003	8.446690424730198e-07	3.1479638640166785e-06	4.91473519875105e-05	0.0	553.5472043010751	3.5358970005158987	562.15	547.05	550.8499999999999	556.3	0.0	1.0
1	seg9	4.2712248111534275e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	553.5	2.591	0.0011304677519927684	3.6808525958867853e-06	0.004402700763455032	3863026	14971565	10624746	489.01560570705226	83273.0	562.15	3.4795	3.1882317622335616e-05	0.006035396768590766	1.2377494108262086	553.9747126436782	183.3125	327.59591354996354	3.209578544061301	1.2662789443206175e-06	1.0928862789268343	252.9546467611833	66618.2	0.003504390301869841	543.5	2.5425000000000004	0.0	0.0016440466606869842	16	10	898	1	0.2906458797327394	0.2906458797327394	3.5199091346972765e-06	557.7	2.571	1.0035636250150413	4.447881130574885	86.21733681033454	181.32995997440534	0.1555452523797241	3.2941338896502616e-06	0.8391715807516151	165.97622327711088	15702.013188689463	0.0018057195799558513	18.56624116239313	2933.0	4913.938703249453	15.30040790497568	2529.546467611833	666182.0	0	-1	-1	0	-1	-1	0	0.0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	14	383	184.5	91.06865541996324	133236	13689172	0.875	0.0005942276409484729	0.005420054200542005	2583	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.2377285714285686	0.13594372478696543	3.4795	2.571	2.571	3.245	1.0914773477295018e-06	3.0291973984420964e-06	3.1882317622335616e-05	0.0	553.8878571428575	4.819846101155548	562.15	543.85	557.7	555.25	0.0	1.0
