Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	largest_data_gap	length	length_invalid	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	proportion_valid	proportion_valid_fix	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	High_numfixations	High_longestfixation	High_meanfixationduration	High_stddevfixationduration	High_timetofirstfixation	High_timetolastfixation	High_proportionnum	High_proportiontime	High_fixationrate	High_totaltimespent	High_numevents	High_numleftclic	High_numrightclic	High_numdoubleclic	High_leftclicrate	High_rightclicrate	High_doubleclicrate	High_timetofirstleftclic	High_timetofirstrightclic	High_timetofirstdoubleclic	High_timetolastleftclic	High_timetolastrightclic	High_timetolastdoubleclic	High_meanpupilsize	High_stddevpupilsize	High_maxpupilsize	High_minpupilsize	High_startpupilsize	High_endpupilsize	High_meanpupilvelocity	High_stddevpupilvelocity	High_maxpupilvelocity	High_minpupilvelocity	High_meandistance	High_stddevdistance	High_maxdistance	High_mindistance	High_startdistance	High_enddistance	High_proptransfrom_High	High_proptransfrom_Low	High_proptransfrom_Med	Low_numfixations	Low_longestfixation	Low_meanfixationduration	Low_stddevfixationduration	Low_timetofirstfixation	Low_timetolastfixation	Low_proportionnum	Low_proportiontime	Low_fixationrate	Low_totaltimespent	Low_numevents	Low_numleftclic	Low_numrightclic	Low_numdoubleclic	Low_leftclicrate	Low_rightclicrate	Low_doubleclicrate	Low_timetofirstleftclic	Low_timetofirstrightclic	Low_timetofirstdoubleclic	Low_timetolastleftclic	Low_timetolastrightclic	Low_timetolastdoubleclic	Low_meanpupilsize	Low_stddevpupilsize	Low_maxpupilsize	Low_minpupilsize	Low_startpupilsize	Low_endpupilsize	Low_meanpupilvelocity	Low_stddevpupilvelocity	Low_maxpupilvelocity	Low_minpupilvelocity	Low_meandistance	Low_stddevdistance	Low_maxdistance	Low_mindistance	Low_startdistance	Low_enddistance	Low_proptransfrom_High	Low_proptransfrom_Low	Low_proptransfrom_Med	Med_numfixations	Med_longestfixation	Med_meanfixationduration	Med_stddevfixationduration	Med_timetofirstfixation	Med_timetolastfixation	Med_proportionnum	Med_proportiontime	Med_fixationrate	Med_totaltimespent	Med_numevents	Med_numleftclic	Med_numrightclic	Med_numdoubleclic	Med_leftclicrate	Med_rightclicrate	Med_doubleclicrate	Med_timetofirstleftclic	Med_timetofirstrightclic	Med_timetofirstdoubleclic	Med_timetolastleftclic	Med_timetolastrightclic	Med_timetolastdoubleclic	Med_meanpupilsize	Med_stddevpupilsize	Med_maxpupilsize	Med_minpupilsize	Med_startpupilsize	Med_endpupilsize	Med_meanpupilvelocity	Med_stddevpupilvelocity	Med_maxpupilvelocity	Med_minpupilvelocity	Med_meandistance	Med_stddevdistance	Med_maxdistance	Med_mindistance	Med_startdistance	Med_enddistance	Med_proptransfrom_High	Med_proptransfrom_Low	Med_proptransfrom_Med
8	seg1	4.3973079695861415e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	651.6500000000001	3.7515	0.0008472697750858424	3.1783364586975177e-06	0.010541635004193226	216510	29978142	3863852	712.0578262761962	83273.0	661.1	4.348	9.156959289059685e-05	0.013431067037582064	1.4003972626473618	649.8212555768011	258.06024096385545	269.82742213203005	3.8607386870618234	1.5452943750847976e-06	1.6181659002121804	250.3957552176158	52098.666666666664	0.004733190275470198	641.7	2.359	0.0	0.0011813695560163426	83	39	1801	1	0.8711826762909495	0.8711826762909495	5.019146142483162e-06	647.8	3.933	1.1133533515379574	2.6399403096164606	243.7005534285973	377.53561365453197	0.2022198953429404	4.594717569169456e-06	1.0757799659668084	176.85533037317148	15368.619578686496	0.0030086972043290015	114.83257553708367	21419.0	22125.848614826464	131.0714379171866	9765.434453487016	2031848.0	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	69	1915	265.2608695652174	260.5395223588879	433018	29661707	0.8414634146341463	0.0007008806289583213	0.0037698737911817733	18303	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.866381245196004	0.18937842335546615	4.292	2.736	3.9705000000000004	3.7515	1.3356332252195125e-06	3.1752827099464994e-06	4.233217245106278e-05	0.0	649.9938508839359	2.6170227956844263	661.1	641.7	648.5999999999999	651.6500000000001	0.33519553072625696	0.33519553072625696	0.329608938547486	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0
8	seg2	4.952721752249867e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	667.5	4.086	0.0008208536638281204	3.3658600505567653e-06	0.008340027425492726	499636	29978094	4130317	2040.4103090985936	149890.0	699.05	4.702999999999999	0.00012406173061910766	0.013612718053896815	1.4885679929674864	660.4340206185566	236.28735632183907	246.7121215379328	3.9783334407216606	1.6847821935669425e-06	1.3718190652529223	264.12229884321675	53583.913043478264	0.004533071512926828	645.45	1.898	0.0	0.0007337257584639078	87	46	1801	1	0.8617434758467518	0.8617434758467518	4.511204988595282e-06	648.5	3.6715	1.1513310637898506	12.315781254106223	149.43287425478363	266.0802643480014	0.24648951703472516	5.357324689482928e-06	1.1242906958178382	300.28191023015285	21331.906342718008	0.0029415976825776864	128.01684739520383	20557.0	21217.24245226222	116.6046205464984	12149.625746787971	2464860.0	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	52	799	240.25	146.9046476126473	366399	28878895	0.7323943661971831	0.0004833297656506399	0.004162330905306972	12493	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.9995316248636854	0.19481747022841578	4.555	2.868	3.6715	4.2795000000000005	1.4984502491123057e-06	5.2798928311789535e-06	0.00012406173061910766	0.0	656.1431842966197	7.555137924826995	675.5	645.95	648.5	665.0	0.3076923076923077	0.34615384615384615	0.34615384615384615	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0
8	seg3	3.9525520110496155e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	667.2	4.315	0.0011671276020657434	2.961235039147527e-06	0.010066038402798424	3663989	29978116	14106360	2040.4103090985936	149890.0	673.5	4.886	6.478534974482139e-05	0.013612718053896815	1.3637813281888869	657.4389296956979	221.14893617021278	402.70357654027333	4.097975865687307	1.9304057834693546e-06	1.4600622443871782	251.73823178961115	51629.05	0.0036417135058285878	604.5999999999999	2.869	0.0	0.0010108209809539886	47	20	1801	1	0.5291504719600222	0.5291504719600222	4.139605031568216e-06	664.1	4.173	0.9753983687019209	12.97436389157714	162.2283654395602	529.0239472487028	0.20514505383850204	4.095106695502315e-06	1.0490350006482898	439.3977092253748	27499.105735651232	0.002957323108817236	62.733941096688795	10394.0	18524.364520852574	65.70280099742303	5034.764635792223	1032581.0	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	10	333	213.1	48.97266811418612	33308	27180160	0.6666666666666666	0.00013426365677496555	0.004692632566870014	2131	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	4.213571856287425	0.10033812227400508	4.567	3.8890000000000002	4.173	4.165	1.1647742688983078e-06	2.2093409526990542e-06	1.6512549537648633e-05	0.0	660.1491017964072	4.702202358437539	667.15	652.0	664.1	665.3	0.3	0.35	0.35	18	516	215.66666666666666	106.98048200214734	5262821	27180160	0.5294117647058824	0.0002445854132334192	0.00463678516228748	3882	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	4.07007072368421	0.23592529883803848	4.567	2.869	4.135	4.165	1.5796235536762254e-06	3.0666205303574163e-06	2.924046832782946e-05	0.0	658.085855263158	11.940417837914994	671.1500000000001	604.5999999999999	669.8	665.3	0.3333333333333333	0.3333333333333333	0.3333333333333333
8	seg4	4.490899676636854e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	674.1	3.651	0.001108221585639294	3.294071476097196e-06	0.00861404173042584	1881960	29978106	5995627	958.6916887686194	99927.0	694.8	4.971	0.00014044673952203678	0.01439088067442162	1.3808065023852585	670.4511805555554	243.34177215189874	340.74231929411627	4.024698263888881	1.769030492319012e-06	1.3444368937887066	305.73621401252353	53135.833333333336	0.005564059178342673	649.7	1.758	0.0	0.0010380481208026268	79	42	1801	1	0.7995558023320377	0.7995558023320377	4.316552964425838e-06	662.2	4.266	1.150921372423182	7.464168890731542	192.86290375023668	256.3650604190277	0.2409167639986475	5.137059268783774e-06	1.1437640493601566	207.9160824927965	17731.808626495684	0.0031209240547343674	107.70290718605015	19224.0	26577.900904941067	103.5216408217304	12840.920988525988	2231705.0	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	21	983	197.57142857142858	189.36593448362657	1931923	24315567	0.8076923076923077	0.00017300129815604133	0.005061460592913955	4149	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	4.0369498381877005	0.20583098895594942	4.4215	3.235	4.266	3.9605	1.8962943956779178e-06	3.97709310924761e-06	3.908970817821543e-05	0.0	669.3218446601941	9.731746991586803	692.9	649.7	662.2	675.55	0.3333333333333333	0.3333333333333333	0.3333333333333333	45	983	256.5111111111111	209.26566653877836	5412710	29145381	0.6716417910447762	0.0004813097094758219	0.0038984666031361	11543	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	4.024448955916474	0.24224671568273384	4.971	1.758	3.8705	4.133	1.5109038374680226e-06	5.607657584784292e-06	0.00014044673952203678	0.0	670.3294083526679	5.316161780110828	692.9	651.5	665.75	668.8	0.3333333333333333	0.3333333333333333	0.3333333333333333
8	seg5	2.9557319449063665e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	666.6500000000001	4.0925	0.000608491451933353	2.4299679322619002e-06	0.013021231907433876	1648801	29978159	4463419	829.7700969032039	83273.0	682.0	4.224	7.121412273327729e-05	0.012915081024836936	1.236307083343939	670.8519895629481	356.7741935483871	254.51641292298356	3.741068166992818	1.270393137572089e-06	1.4525349908129286	245.94300003263248	48536.114285714284	0.0049660780340296425	660.6	2.394	0.0	0.0009945926972422597	62	35	1801	1	0.8511937812326485	0.8511937812326485	3.4157549498358876e-06	668.8	3.95	1.1054360237234213	3.509849664629291	537.872506660705	213.49641404958285	0.20405415296212326	3.9497318787179725e-06	1.0910181050912915	182.9528875419053	16343.624642567596	0.0031877241607398223	75.41473208398027	22120.0	15525.501188301998	87.15209944877572	8608.005001142137	1698764.0	18	999	241.55555555555554	206.74372377477732	20401799	27962956	0.8571428571428571	0.00017041129950765715	0.004139834406623735	4348	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.615812668463614	0.19024605852690407	4.224	2.9425	3.472	4.0685	1.3701050972442286e-06	4.998887068965486e-06	7.121412273327729e-05	0.0	668.9262803234502	2.6454173874152267	682.0	662.3	672.85	669.95	0.3333333333333333	0.3333333333333333	0.3333333333333333	13	3814	649.4615384615385	1055.1314780146765	9143346	16471336	1.0	0.0003309067621304391	0.001539737060286628	8443	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.708304387568554	0.15342370566691274	4.024	3.075	3.9074999999999998	3.958	8.791385650809729e-07	2.0869713024362694e-06	2.4468596133061138e-05	0.0	673.3706581352833	2.9055906585791127	679.9	664.5	666.15	673.05	0.3142857142857143	0.34285714285714286	0.34285714285714286	20	1199	303.2	254.7338342580142	249817	7611124	0.8695652173913043	0.00023766654098768007	0.0032981530343007917	6064	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.8772379807692343	0.14235560377968667	4.199	2.5655	3.95	3.968	1.2513776717900552e-06	4.262579576454577e-06	7.11840999159361e-05	0.0	668.9733173076924	2.8013997457017425	676.1	660.6	668.8	660.6	0.3333333333333333	0.3333333333333333	0.3333333333333333
8	seg6	3.938992249347295e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	672.25	3.501	0.0008322539817530412	3.0172763207573927e-06	0.009412329823408208	2381596	29994782	10109298	874.8214706952787	83273.0	682.0	4.3765	7.121412273327729e-05	0.013131711233961462	1.3276062262799941	670.7741004184098	248.2	280.50463115400663	3.7636899581589964	1.816699808243327e-06	1.4416746836115484	335.40590936750306	54557.93103448276	0.005843789285247444	662.2	2.372	0.0	0.0012230588164243972	60	29	1802	1	0.6631520532741398	0.6631520532741398	4.204933188926647e-06	674.6	3.916	1.1138081549426724	2.860393623559525	192.09582707508517	229.47668960455263	0.24953713328350913	4.842492707148784e-06	1.08186534211572	214.13467333376843	17179.646705437375	0.0028347563572488485	78.32876735051966	14892.0	16549.773238086393	83.61713164946981	9726.771371657589	1582180.0	30	999	251.0	179.7014765928627	3414174	29295293	0.8823529411764706	0.0003786681782550528	0.00398406374501992	7530	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.660985470085474	0.2174341426294082	4.3765	2.9425	3.472	3.4885	1.4006118645569649e-06	4.466022488100941e-06	7.121412273327729e-05	0.0	670.1013675213676	2.7643752254274445	682.0	662.3	672.85	672.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	7	283	190.28571428571428	56.82345256938161	13240351	21084622	0.3684210526315789	6.698353432081412e-05	0.005255255255255256	1332	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.8753451086956514	0.17036444919558447	4.33	3.41	3.916	3.9585	1.4356181276118583e-06	2.5545514223833847e-06	2.347784316080221e-05	0.0	670.6809782608698	2.6503875620431483	674.75	662.8	674.6	670.45	0.3076923076923077	0.3076923076923077	0.38461538461538464	8	233	170.625	54.798168634675065	15522021	21084622	0.4444444444444444	6.864303629723068e-05	0.005860805860805861	1365	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	4.00637113402062	0.13227337691844468	4.335	3.41	4.013	3.9585	1.8773194200628392e-06	3.3470455003762586e-06	2.347784316080221e-05	0.0	668.6139175257729	2.193346262326241	674.5	662.5	669.6500000000001	670.45	0.3	0.3	0.4
8	seg7	4.707956653797936e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	664.3	3.8865	0.0007367705772538355	3.4227871999825497e-06	0.007587060872087161	2381596	29978120	12740706	874.8214706952787	83273.0	682.2	4.3765	6.466526568598018e-05	0.013131711233961462	1.3991896195787878	672.2845077220084	227.01694915254237	218.9658528128163	3.7869560810810823	1.8026729477127216e-06	1.3470746556927955	261.2225440023466	51922.76470588235	0.004645361274021104	653.4	2.372	0.0	0.0008084952220140865	59	34	1801	1	0.575235980011105	0.575235980011105	4.454453282521922e-06	670.7	3.958	1.0326144195938904	3.638595955911443	134.9490953228768	196.0738943909655	0.2485658647764547	4.504418954467493e-06	1.0564263409439525	209.8679162639528	16787.811828930087	0.002970018989848856	81.1529979355697	13394.0	12700.019463143346	76.78325537448934	8881.566496079784	1765374.0	30	666	242.13333333333333	146.78713965404492	199854	29961466	0.8823529411764706	0.0004214089189944617	0.004129955947136564	7264	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.706796786389413	0.214512446681585	4.3765	3.057	3.958	3.8865	1.3086444838809314e-06	3.3605771148694444e-06	4.296265161522755e-05	0.0	673.0068052930059	3.9095043718620257	682.0	653.4	670.7	664.3	0.325	0.3375	0.3375	7	283	190.28571428571428	56.82345256938161	3230984	11075255	0.3684210526315789	7.7273772040284e-05	0.005255255255255256	1332	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.9919603960396044	0.1311581237127216	4.33	3.41	3.889	3.9585	1.9829776939236257e-06	3.215261661040469e-06	2.347784316080221e-05	0.0	668.8584158415838	2.1729481046142207	674.5	662.8	674.4	670.45	0.3076923076923077	0.3076923076923077	0.38461538461538464	8	233	170.625	54.798168634675065	5512654	11075255	0.4444444444444444	7.918821233857932e-05	0.005860805860805861	1365	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	4.00637113402062	0.13227337691844468	4.335	3.41	4.013	3.9585	1.8773194200628392e-06	3.3470455003762586e-06	2.347784316080221e-05	0.0	668.6139175257729	2.193346262326241	674.5	662.5	669.6500000000001	670.45	0.3	0.3	0.4
8	seg8	4.707956653797936e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	664.3	3.8865	0.0007367705772538355	3.4227871999825497e-06	0.007587060872087161	2381596	29978120	12740706	874.8214706952787	83273.0	682.2	4.3765	6.466526568598018e-05	0.013131711233961462	1.3991896195787878	672.2845077220084	227.01694915254237	218.9658528128163	3.7869560810810823	1.8026729477127216e-06	1.3470746556927955	261.2225440023466	51922.76470588235	0.004645361274021104	653.4	2.372	0.0	0.0008084952220140865	59	34	1801	1	0.575235980011105	0.575235980011105	4.454453282521922e-06	670.7	3.958	1.0326144195938904	3.638595955911443	134.9490953228768	196.0738943909655	0.2485658647764547	4.504418954467493e-06	1.0564263409439525	209.8679162639528	16787.811828930087	0.002970018989848856	81.1529979355697	13394.0	12700.019463143346	76.78325537448934	8881.566496079784	1765374.0	30	666	242.13333333333333	146.78713965404492	199854	29961466	0.8823529411764706	0.0004214089189944617	0.004129955947136564	7264	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.706796786389413	0.214512446681585	4.3765	3.057	3.958	3.8865	1.3086444838809314e-06	3.3605771148694444e-06	4.296265161522755e-05	0.0	673.0068052930059	3.9095043718620257	682.0	653.4	670.7	664.3	0.325	0.3375	0.3375	7	283	190.28571428571428	56.82345256938161	3230984	11075255	0.3684210526315789	7.7273772040284e-05	0.005255255255255256	1332	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.9919603960396044	0.1311581237127216	4.33	3.41	3.889	3.9585	1.9829776939236257e-06	3.215261661040469e-06	2.347784316080221e-05	0.0	668.8584158415838	2.1729481046142207	674.5	662.8	674.4	670.45	0.3076923076923077	0.3076923076923077	0.38461538461538464	8	233	170.625	54.798168634675065	5512654	11075255	0.4444444444444444	7.918821233857932e-05	0.005860805860805861	1365	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	4.00637113402062	0.13227337691844468	4.335	3.41	4.013	3.9585	1.8773194200628392e-06	3.3470455003762586e-06	2.347784316080221e-05	0.0	668.6139175257729	2.193346262326241	674.5	662.5	669.6500000000001	670.45	0.3	0.3	0.4
8	seg9	4.510129973360841e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	677.3499999999999	3.9770000000000003	0.0006305863301290247	3.2203425925108335e-06	0.00946012153158154	2364942	29994767	10742157	873.9406826727671	83273.0	682.25	4.3765	8.225758030621436e-05	0.012446721204685712	1.423471695515191	673.8282871972312	238.8709677419355	199.0234866443502	3.7187781141868532	1.8761294733323946e-06	1.2216909407521825	235.7226883703002	48922.46875	0.004623014727753219	653.4	2.372	0.0	0.0008084952220140865	62	32	1802	1	0.6415094339622641	0.6415094339622641	3.8073516497311766e-06	667.45	4.185	1.0879888716529749	4.748071379588916	157.47125513086743	171.16082873521304	0.24351719644921138	5.466455170570971e-06	1.0251883583842842	190.7310979483853	17409.96546287059	0.0032911633186035053	86.83177342642665	14810.0	12140.432685305363	73.30145644513095	7543.1260278496065	1565519.0	43	899	243.67441860465115	164.6213144983174	5695838	28212742	0.9148936170212766	0.0005442378981343308	0.004103836610040084	10478	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.6785847568988106	0.18193051479812436	4.3765	3.0035	3.998	3.7565	1.6245984836905309e-06	4.976940625591985e-06	8.225758030621436e-05	0.0	673.9933639947435	4.9611237304313756	682.25	653.4	671.6	679.7	0.328	0.336	0.336	2	217	175.0	59.39696961966999	932651	1082540	0.2222222222222222	1.817935334481922e-05	0.005714285714285714	350	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	4.0033378378378375	0.14537771942875669	4.3125	3.5685000000000002	4.185	3.9585	1.6353837910313159e-06	2.941416027600108e-06	1.5251591209319082e-05	3.002101471030723e-08	667.3175675675674	1.5229365008383025	670.45	664.85	667.45	670.45	0.3333333333333333	0.3333333333333333	0.3333333333333333	2	217	175.0	59.39696961966999	932651	1082540	0.2222222222222222	1.817935334481922e-05	0.005714285714285714	350	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	4.024054054054053	0.13600300158982312	4.335	3.6895	4.185	3.9585	1.8686757704878116e-06	3.2288275536686108e-06	1.5251591209319082e-05	3.002101471030723e-08	667.2148648648648	1.7100952241544038	670.45	662.5	667.45	670.45	0.3333333333333333	0.3333333333333333	0.3333333333333333
8	seg10	4.593271194765456e-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	690.1500000000001	3.792	0.0007096074813032814	3.083190596415002e-06	0.011072408116525479	2364942	29978098	10842077	623.100107813826	66619.0	697.0	4.582	8.225758030621436e-05	0.014423682984643438	1.5154643800297736	682.3708695652169	262.54237288135596	234.1217873099431	3.851225652173913	1.3445779255900595e-06	1.1947669079822079	213.7236358064978	43717.90625	0.004692246066100674	653.4	2.395	0.0	0.0008084952220140865	59	32	1801	1	0.6385341476957246	0.6385341476957246	3.5588231093070943e-06	676.7	3.7115	0.9229459825126993	8.338415202283342	200.25675949966543	208.37354047076255	0.2451835215977297	4.122119043446359e-06	1.061040895350034	193.9248844473167	13869.914141091502	0.004143386703883265	87.89693404172687	15490.0	13579.0636639767	68.10171375498585	6839.15634580793	1398973.0	50	899	267.84	202.38288223169513	216509	22233763	0.8928571428571429	0.0006998320079184695	0.0037335722819593787	13392	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.860870295015256	0.23468276072147223	4.582	3.0035	3.7115	3.9924999999999997	1.315594927290535e-06	4.012223277543171e-06	8.225758030621436e-05	0.0	681.7787894201424	8.445301737974066	694.1500000000001	653.4	676.7	690.7	0.33093525179856115	0.3381294964028777	0.33093525179856115	26	849	317.7692307692308	224.1582133569605	18236684	29828207	0.8666666666666667	0.00043175119843357195	0.0031469377874606633	8262	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3.9771456896551736	0.2174059697452458	4.582	3.463	3.729	3.792	9.419827184138543e-07	1.9067948611335493e-06	2.6418492945061567e-05	0.0	686.9463793103447	5.237699200304464	694.1500000000001	671.8	672.4	690.1500000000001	0.3283582089552239	0.34328358208955223	0.3283582089552239	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0
